ISIN,NAME,Country,Region
AU000000ABC7,ADBRI DEAD - DELIST.02/07/24,AU,PAC
AU000000ALL7,ARISTOCRAT LEISURE,AU,PAC
AU000000AMP6,AMP,AU,PAC
AU000000ANN9,ANSELL,AU,PAC
AU000000ANZ3,ANZ GROUP HOLDINGS,AU,PAC
AU000000APA1,APA GROUP,AU,PAC
AU000000ASX7,ASX,AU,PAC
AU000000BEN6,BENDIGO & ADELAIDE BANK,AU,PAC
AU000000BHP4,BHP GROUP,AU,PAC
AU000000BLD2,BORAL DEAD - DELIST.08/07/24,AU,PAC
AU000000BOQ8,BANK OF QLND.,AU,PAC
AU000000BPT9,BEACH ENERGY,AU,PAC
AU000000BSL0,BLUESCOPE STEEL,AU,PAC
AU000000BWP3,BWP GROUP STAPLED UNITS,AU,PAC
AU000000CBA7,COMMONWEALTH BK.OF AUS.,AU,PAC
AU000000CGF5,CHALLENGER,AU,PAC
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,AU,PAC
AU000000COH5,COCHLEAR,AU,PAC
AU000000CPU5,COMPUTERSHARE,AU,PAC
AU000000CQR9,CHARTER HALL RETAIL REIT,AU,PAC
AU000000CSL8,CSL,AU,PAC
AU000000CSR5,CSR DEAD - DEAD.10/07/24,AU,PAC
AU000000CWY3,CLEANAWAY WASTE MANAGEMENT,AU,PAC
AU000000DOW2,DOWNER EDI,AU,PAC
AU000000DXS1,DEXUS STAPLED UNITS,AU,PAC
AU000000ELD6,ELDERS,AU,PAC
AU000000ERA9,ENERGY RES.OF AUS.,AU,PAC
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,AU,PAC
AU000000GMG2,GOODMAN GROUP,AU,PAC
AU000000GPT8,GPT GROUP STAPLED UNITS,AU,PAC
AU000000GWA4,GWA GROUP,AU,PAC
AU000000HIL8,HILLS DEAD - DELIST.29/08/23,AU,PAC
AU000000HVN7,HARVEY NORMAN HOLDINGS,AU,PAC
AU000000IAG3,INSURANCE AUS.GROUP,AU,PAC
AU000000IFL2,INSIGNIA FINANCIAL,AU,PAC
AU000000IGO4,IGO,AU,PAC
AU000000ILU1,ILUKA RESOURCES,AU,PAC
AU000000IRE2,IRESS,AU,PAC
AU000000IVC8,INVOCARE DEAD - DELIST.27/11/23,AU,PAC
AU000000JBH7,JB HI-FI,AU,PAC
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,AU,PAC
