NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,,,,,,,,,,,2151902.0,2156481.0,2125121.0,2092331.0,1922718.0,1798170.0,,,AU
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,,,,,,,,,,,,,,,,15400.0,13300.0,18900.0,6579.0,4594.0,5197.0,,AU
AMP,AU000000AMP6,,,,,,,,,510.0,,1.0,299.63,162.92,146.86,,,,,96.0,122.0,75.0,355.0,146.0,29.0,27.0,26.0,,AU
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,,,,7301.0,12896.0,13153.0,15504.0,15218.0,18278.0,15416.0,16428.0,16038.0,17611.0,22688.0,21122.0,19024.0,17970.0,16249.0,11762.0,6424.0,5819.0,6185.0,5958.0,6314.0,AU
APA GROUP,AU000000APA1,,,,,,,,,,,298906.0,305076.0,297099.0,327239.0,322827.0,311421.0,350922.0,1084236.0,1241632.0,1205766.0,1229923.0,1322249.0,1429979.0,1492977.0,1379338.0,1905327.0,1862659.0,AU
ASX,AU000000ASX7,,,,,,,,,7.0,,,20.0,,251.0,300.0,100.0,29.0,11.0,48.0,44.71,29.56,30.12,22.0,34.0,50.0,34.0,37.0,AU
BHP GROUP,AU000000BHP4,,,,,,,22816087.0,23200000.0,21394070.0,22231000.0,21340000.0,19250000.0,19800000.0,20200000.0,22000000.0,22700000.0,20700000.0,11300000.0,10500000.0,10590000.0,9260000.0,9600000.0,10100000.0,9100000.0,8000000.0,8200000.0,7300000.0,AU
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,,,,,3840000.0,3750000.0,3205000.0,3217000.0,2977000.0,2528000.0,2764760.0,2811000.0,2676000.0,2459000.0,1871000.0,1733000.0,1772000.0,2044000.0,1572000.0,1350000.0,1320000.0,1330000.0,,,,AU
BEACH ENERGY,AU000000BPT9,,,,,,,,,,,,,,,,62696.0,51835.0,41195.0,18297.0,495740.0,576791.0,607423.0,559457.0,569509.0,538977.0,541164.0,626731.0,AU
BLUESCOPE STEEL,AU000000BSL0,,,,,,,,,,,9710000.0,,13390000.0,9480000.0,8095000.0,7840000.0,7810000.0,8270000.0,8670000.0,8820000.0,8590000.0,8420000.0,8840000.0,8680000.0,8510000.0,8500000.0,,AU
BWP GROUP STAPLED UNITS,AU000000BWP3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,AU
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,,,,,,,,17038.0,15073.0,13289.0,10385.0,10959.0,10540.0,9729.0,9063.0,9694.0,8739.0,7624.0,12526.0,8768.0,6667.0,7891.0,7258.0,,AU
CHALLENGER,AU000000CGF5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.5,4.0,2.0,0.99,40.67,34.9,2.9,,AU
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,,,1786040.0,,,478443.0,684758.0,730542.0,730542.0,3172000.0,153239.0,77412.0,1963000.0,2236000.0,2689000.0,2634000.0,2391000.0,115000.0,,,,,AU
COCHLEAR,AU000000COH5,,,,,,,,,6.28,,,,,,,,,,,728.0,409.0,559.0,474.0,251.0,916.0,856.0,951.0,AU
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,,85.0,,,,,,,,,7820.0,263.0,294.0,325.0,384.0,141.0,184.0,AU
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,,,,862118.0,752500.0,735858.0,394398.0,370008.0,367113.0,313461.0,351912.0,445151.0,453531.0,442072.0,306981.0,267905.0,280065.0,275488.0,272788.0,,,AU
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,,,,931637.0,631497.0,559304.0,,,,712000.0,779000.0,755400.0,859500.0,1247000.0,1133000.0,1070000.0,1082000.0,AU
DOWNER EDI,AU000000DOW2,,,,,,,,,,207900.0,283490.0,242210.0,249960.0,203120.0,219760.0,219259.0,220568.0,218900.0,224700.0,334700.0,356300.0,320686.0,306868.0,325582.0,339179.0,296532.0,278407.0,AU
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,,,6403.0,6226.0,8993.0,8427.0,8675.0,7882.0,9267.0,11050.0,15881.0,17686.0,19695.0,18943.0,17742.0,17299.0,15763.0,12764.0,12051.0,10059.0,,AU
ELDERS,AU000000ELD6,,,,,,,,,,,,,,,,,,,,13794.0,15330.0,14574.0,55419.0,64387.0,59221.0,57210.0,38206.0,AU
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,5854.0,7578.0,6838.0,6614.0,8745.0,13202.0,14710.0,9201.0,9843.0,10077.0,9556.0,13313.0,13621.0,9706.0,9874.0,10133.0,6904.0,7747.0,8806.0,7525.0,6590.0,,AU
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,,,53244.0,7966.0,8072.0,7419.0,7556.0,7765.0,8696.0,9253.0,9181.0,10600.0,13027.0,12368.0,11461.0,8357.0,6751.0,5600.0,4869.0,5617.0,7192.0,6770.0,AU
IGO,AU000000IGO4,,,,,,,,,,,,4729.0,32675.0,38429.0,,,37181.0,49624.0,76482.0,71123.0,73963.0,63536.0,63336.5,62168.3,105437.9,111033.8,65861.0,AU
ILUKA RESOURCES,AU000000ILU1,,,,,,,,,,,,,,,,,,,289000.0,446000.0,322000.0,399000.0,348000.0,421000.0,454000.0,392000.0,,AU
IRESS,AU000000IRE2,,,,,,,,,,,,,,,,,,,,,106.0,159.0,80.0,72.0,53.0,47.0,,AU
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,,,,,10750.0,17165.0,49183.0,39340.0,115583.0,166789.0,122863.0,86876.0,86745.0,83649.0,141950.0,118182.0,106565.0,39259.0,22646.0,26217.0,31753.0,,AU
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,83134.0,53354.1,79268.75,,,,,127.0,156.0,569.0,795.0,6119.0,2051.0,15125.0,1091.0,894.0,9301.0,AU
