ISIN,CI_2013
AU000000ABC7,
AU000000ALL7,
AU000000AMP6,
AU000000ANN9,
AU000000ANZ3,0.42653063075284786
AU000000APA1,332.9115568810405
AU000000ASX7,0.4849738922388011
AU000000BEN6,
AU000000BHP4,329.4660755146728
AU000000BLD2,502.6346054910013
AU000000BOQ8,
AU000000BPT9,
AU000000BSL0,1023.6302417423894
AU000000BWP3,0.0
AU000000CBA7,0.22976128852495517
AU000000CGF5,
AU000000CIM7,160.9360674876165
AU000000COH5,
AU000000CPU5,
AU000000CQR9,
AU000000CSL8,
AU000000CSR5,204.6701726784194
AU000000CWY3,264.02782527839076
AU000000DOW2,24.455746683155972
AU000000DXS1,14.052385205493577
AU000000ELD6,
AU000000ERA9,258.8769809055373
AU000000FLT9,
AU000000GMG2,
AU000000GPT8,14.996852402219837
AU000000GWA4,16.755987495084025
AU000000HIL8,
AU000000HVN7,
AU000000IAG3,1.00136758696601
AU000000IFL2,
AU000000IGO4,
AU000000ILU1,
AU000000IRE2,
AU000000IVC8,
AU000000JBH7,
AU000000LLC3,13.25695404095906
AU000000MAH3,
AU000000MGR9,4.559598063622719
AU000000MGX7,
AU000000MND5,
AU000000MQG1,0.0
AU000000MTS0,
AU000000NAB4,0.42255082061363747
AU000000NCM7,
AU000000ORG5,950.9628751415604
AU000000ORI1,273.73435320030035
AU000000OZL8,199.9358126431534
AU000000PPT9,
AU000000QAN2,750.4054751008388
AU000000QBE9,0.6487553522918545
AU000000RHC8,
AU000000SBM8,
AU000000SDG6,
AU000000SEK6,
AU000000SGM7,13.56003718635604
AU000000SGP0,9.613342494846648
AU000000SHL7,2.387801432911426
AU000000SIG5,
AU000000STO6,1071.9687806220209
AU000000SUN6,0.41453603601930317
AU000000SWM4,
AU000000SXL4,
AU000000TAH8,0.8286484748218721
AU000000TCL6,0.14034712522305168
AU000000TLS2,2.009111768485008
AU000000WBC1,0.2424948657744411
AU000000WES1,
AU000000WOR2,
AU000000WOW2,8.779929535268318
AU0000032187,
AU0000033359,
AU0000038911,23.357871555998624
AU0000088338,76.45460548876285
AU0000224040,1442.9465773539716
BMG2108M2182,
BMG2178K1009,
BMG2442N1048,49.98286581485289
BMG2624N1535,
BMG4600H1198,
BMG4639H1227,
BMG507361001,
BMG524401079,0.6379610267494771
BMG5320C1082,
BMG668971101,
BMG677491539,818.4432444385052
BMG684371393,488.6910067270386
BMG8063F1068,
BMG8403G1033,
BMG988031446,
HK0000049939,
HK0000055878,
HK0000139300,
HK0000592854,
HK0000608585,
HK0000745908,
HK0002007356,
HK0003000038,249.32330976849352
HK0004000045,
HK0006000050,
HK0008011667,
HK0010000088,0.47552345658625195
HK0011000095,0.0
HK0012000102,
HK0014000126,
HK0016000132,
HK0019000162,2844.092886297964
HK0023000190,
HK0066009694,11.277347649447377
HK0083000502,
HK0101000591,
HK0144000764,
HK0165000859,
HK0200030994,6.082937136819863
HK0242001243,
HK0270001396,
