RebalanceDate,ISIN,Weight
2013-12-31,AU000000ABC7,5.038945111336868e-18
2013-12-31,AU000000ALL7,5.629820884045755e-19
2013-12-31,AU000000AMP6,2.053326345814128e-19
2013-12-31,AU000000ANN9,5.941171257508485e-19
2013-12-31,AU000000ANZ3,0.0
2013-12-31,AU000000APA1,0.0
2013-12-31,AU000000ASX7,0.0
2013-12-31,AU000000BEN6,1.7782344925457286e-19
2013-12-31,AU000000BHP4,0.0
2013-12-31,AU000000BLD2,1.5220104653199478e-18
2013-12-31,AU000000BOQ8,1.6114739475757548e-18
2013-12-31,AU000000BPT9,0.0
2013-12-31,AU000000BSL0,0.0
2013-12-31,AU000000BWP3,0.0
2013-12-31,AU000000CBA7,2.106093579964977e-19
2013-12-31,AU000000CGF5,0.0
2013-12-31,AU000000CIM7,7.617220758091388e-19
2013-12-31,AU000000COH5,1.7120855813982495e-05
2013-12-31,AU000000CPU5,2.4700712233665315e-19
2013-12-31,AU000000CQR9,0.0
2013-12-31,AU000000CSL8,0.0
2013-12-31,AU000000CSR5,0.0
2013-12-31,AU000000CWY3,4.81824298261452e-19
2013-12-31,AU000000DOW2,1.8397369036212548e-18
2013-12-31,AU000000DXS1,2.612312913381576e-19
2013-12-31,AU000000ELD6,0.0
2013-12-31,AU000000ERA9,1.1531181802422795e-18
2013-12-31,AU000000FLT9,0.0
2013-12-31,AU000000GMG2,0.0
2013-12-31,AU000000GPT8,1.6664248584623293e-18
2013-12-31,AU000000GWA4,9.76897849927518e-20
2013-12-31,AU000000HIL8,0.0
2013-12-31,AU000000HVN7,0.0
2013-12-31,AU000000IAG3,0.0
2013-12-31,AU000000IFL2,1.4754237961672612e-20
2013-12-31,AU000000IGO4,5.1143486893373034e-20
2013-12-31,AU000000ILU1,0.0
2013-12-31,AU000000IRE2,0.0
2013-12-31,AU000000IVC8,0.0
2013-12-31,AU000000JBH7,0.0
2013-12-31,AU000000LLC3,1.2697925453204288e-19
2013-12-31,AU000000MAH3,1.6366236801899805e-18
2013-12-31,AU000000MGR9,1.6280051434280457e-18
2013-12-31,AU000000MGX7,2.475157279287979e-18
2013-12-31,AU000000MND5,0.0
2013-12-31,AU000000MQG1,1.3255881476148407e-19
2013-12-31,AU000000MTS0,0.0
2013-12-31,AU000000NAB4,1.8334504864278734e-19
2013-12-31,AU000000NCM7,5.644019795262562e-19
2013-12-31,AU000000ORG5,0.003376371722168738
2013-12-31,AU000000ORI1,0.0
2013-12-31,AU000000OZL8,1.8949844409018545e-18
2013-12-31,AU000000PPT9,1.7566709336811743e-18
2013-12-31,AU000000QAN2,0.0
2013-12-31,AU000000QBE9,4.005657429248363e-19
2013-12-31,AU000000RHC8,0.0
2013-12-31,AU000000SBM8,0.00014823861288219972
2013-12-31,AU000000SDG6,0.0
2013-12-31,AU000000SEK6,6.159893526664644e-19
2013-12-31,AU000000SGM7,0.0
2013-12-31,AU000000SGP0,3.2114054306779587e-19
2013-12-31,AU000000SHL7,0.0
2013-12-31,AU000000SIG5,0.025708766094609148
2013-12-31,AU000000STO6,0.0
2013-12-31,AU000000SUN6,0.0
2013-12-31,AU000000SWM4,0.0
2013-12-31,AU000000SXL4,0.0
2013-12-31,AU000000TAH8,0.0
2013-12-31,AU000000TCL6,2.1077419201031906e-18
2013-12-31,AU000000TLS2,0.0
2013-12-31,AU000000WBC1,8.48555617588622e-19
2013-12-31,AU000000WES1,1.6735781720832848e-19
2013-12-31,AU000000WOR2,0.0
2013-12-31,AU000000WOW2,4.090125027282542e-19
2013-12-31,AU0000032187,0.0
2013-12-31,AU0000033359,1.0743386593066345e-18
2013-12-31,AU0000038911,0.0
2013-12-31,AU0000088338,4.2182564541900505e-19
2013-12-31,AU0000224040,0.0
2013-12-31,BMG2108M2182,0.0
2013-12-31,BMG2178K1009,0.06658565445463606
2013-12-31,BMG2442N1048,0.0
2013-12-31,BMG2624N1535,0.015152320617797529
2013-12-31,BMG4600H1198,0.0
2013-12-31,BMG507361001,0.0007111455868013038
2013-12-31,BMG524401079,0.0
2013-12-31,BMG5320C1082,2.709404514649114e-18
2013-12-31,BMG668971101,6.07510674023915e-20
2013-12-31,BMG677491539,1.6908000703265095e-18
2013-12-31,BMG684371393,0.0
2013-12-31,BMG8063F1068,1.5469692358824322e-05
2013-12-31,BMG8403G1033,1.0315317793729852e-18
2013-12-31,BMG988031446,0.002796594560420246
2013-12-31,HK0000049939,0.03508909208776404
2013-12-31,HK0000055878,0.014639979351457543
2013-12-31,HK0000139300,0.0
2013-12-31,HK0000592854,0.0
2013-12-31,HK0000608585,0.0
2013-12-31,HK0000745908,1.834852163913519e-18
2013-12-31,HK0002007356,0.10150528471080507
2013-12-31,HK0003000038,0.030233783312947037
2013-12-31,HK0004000045,0.0
2013-12-31,HK0006000050,0.1049629568034389
2013-12-31,HK0008011667,0.004812190425803043
2013-12-31,HK0010000088,0.0
2013-12-31,HK0011000095,0.004750730997610495
2013-12-31,HK0012000102,0.0
2013-12-31,HK0014000126,1.6115925850087841e-18
2013-12-31,HK0016000132,2.294830033788805e-18
2013-12-31,HK0019000162,0.0
2013-12-31,HK0023000190,0.0
2013-12-31,HK0066009694,2.6811451433559347e-19
2013-12-31,HK0083000502,1.560832721970663e-18
2013-12-31,HK0101000591,0.0
2013-12-31,HK0144000764,0.0
2013-12-31,HK0165000859,0.0
2013-12-31,HK0200030994,3.847417141361789e-18
2013-12-31,HK0242001243,2.06083469648671e-19
2013-12-31,HK0270001396,0.0
2013-12-31,HK0291001490,0.0
2013-12-31,HK0293001514,0.0
2013-12-31,HK0308001558,1.0974745880601984e-18
2013-12-31,HK0363006039,4.451730800707287e-19
2013-12-31,HK0388045442,9.874629773664776e-19
2013-12-31,HK0392044647,0.033806737645757055
2013-12-31,HK0440001847,0.0
2013-12-31,HK0688002218,0.0
2013-12-31,HK0823032773,4.336808689942018e-19
2013-12-31,HK0836012952,2.4306481933253016e-18
2013-12-31,HK2380027329,4.607598920897559e-20
2013-12-31,HK2388011192,0.0
2013-12-31,IE00BKVD2N49,1.6403359404193896e-19
2013-12-31,JP3027670003,1.0490909474167053e-18
2013-12-31,JP3027680002,0.0
2013-12-31,JP3039710003,1.0306478855274307e-18
2013-12-31,JP3040890000,0.0
2013-12-31,JP3102000001,8.082993130861652e-19
2013-12-31,JP3108600002,4.36506718181953e-19
2013-12-31,JP3111200006,4.4840410759703906e-20
2013-12-31,JP3112000009,0.0
2013-12-31,JP3116000005,6.330595393956629e-19
2013-12-31,JP3118000003,0.0
2013-12-31,JP3119600009,0.00017539608789357027
2013-12-31,JP3122400009,0.0
2013-12-31,JP3122800000,7.424228379186837e-19
2013-12-31,JP3125800007,1.5157562642329696e-18
2013-12-31,JP3126340003,1.6089033235895262e-19
2013-12-31,JP3126400005,1.165958903043136e-18
2013-12-31,JP3131400008,0.0
2013-12-31,JP3131430005,2.0046276782852175e-18
2013-12-31,JP3134800006,0.0
2013-12-31,JP3137200006,5.2100263016347606e-20
2013-12-31,JP3143000002,0.0
2013-12-31,JP3143600009,1.383929361538706e-18
2013-12-31,JP3148800000,0.0
2013-12-31,JP3152740001,2.436426449183686e-05
2013-12-31,JP3156400008,4.45770381794734e-19
2013-12-31,JP3158800007,1.0991093141632856e-18
2013-12-31,JP3160400002,1.165494635586047e-18
2013-12-31,JP3162600005,1.0726409189080418e-18
2013-12-31,JP3164630000,0.0
2013-12-31,JP3164800009,0.004286226965497284
2013-12-31,JP3165600002,2.4883051911342606e-19
2013-12-31,JP3165700000,0.0
2013-12-31,JP3166000004,0.0
2013-12-31,JP3172100004,0.0
2013-12-31,JP3173400007,0.0
2013-12-31,JP3174410005,7.694638526991032e-19
2013-12-31,JP3180400008,0.0
2013-12-31,JP3190000004,7.19182815689037e-19
2013-12-31,JP3194000000,1.604106922854084e-18
2013-12-31,JP3196000008,6.708307286741775e-19
2013-12-31,JP3197600004,0.0
2013-12-31,JP3197800000,4.2296692586741717e-19
2013-12-31,JP3198900007,0.01842942582795598
2013-12-31,JP3200450009,0.0
2013-12-31,JP3201200007,1.1737697097997274e-18
2013-12-31,JP3203500008,0.0
2013-12-31,JP3205800000,2.1399351297550924e-19
2013-12-31,JP3209000003,1.0138427076907909e-18
2013-12-31,JP3210200006,1.971241392915768e-19
2013-12-31,JP3215800008,0.0
2013-12-31,JP3218900003,0.0
2013-12-31,JP3219000001,0.0
2013-12-31,JP3223800008,0.0
2013-12-31,JP3224200000,7.066108782297202e-19
2013-12-31,JP3228600007,0.0
2013-12-31,JP3229400001,0.0
2013-12-31,JP3236200006,1.4072169352502427e-18
2013-12-31,JP3240400006,0.0
2013-12-31,JP3242800005,0.0
2013-12-31,JP3243600008,0.0
2013-12-31,JP3246400000,0.0
2013-12-31,JP3249600002,0.0
2013-12-31,JP3256000005,0.0
2013-12-31,JP3258000003,2.3320534343878732e-19
2013-12-31,JP3260800002,0.015826684280921637
2013-12-31,JP3263000006,0.007663835946957444
2013-12-31,JP3266400005,1.9595521515651364e-18
2013-12-31,JP3268950007,0.0
2013-12-31,JP3269600007,0.0
2013-12-31,JP3270000007,0.0
2013-12-31,JP3271400008,1.0943362239387149e-18
2013-12-31,JP3274400005,9.858737560457052e-19
2013-12-31,JP3276400003,0.0
2013-12-31,JP3277800003,0.0
2013-12-31,JP3278600006,0.0
2013-12-31,JP3280200001,0.00367643519580971
2013-12-31,JP3283650004,0.0
2013-12-31,JP3289800009,0.0
2013-12-31,JP3292200007,0.0
2013-12-31,JP3293200006,0.0
2013-12-31,JP3294460005,1.5187091571918378e-19
2013-12-31,JP3300200007,4.264032184281055e-19
2013-12-31,JP3300600008,2.1151441747860966e-18
2013-12-31,JP3304200003,1.417049071216319e-18
2013-12-31,JP3305530002,0.0
2013-12-31,JP3305800009,6.194223582558832e-19
2013-12-31,JP3320800000,4.441511895363381e-19
2013-12-31,JP3322930003,0.0
2013-12-31,JP3326410002,3.017834748222947e-19
2013-12-31,JP3336000009,9.319283587169137e-19
2013-12-31,JP3336600006,0.0
2013-12-31,JP3347200002,1.446413461410916e-18
2013-12-31,JP3350800003,0.00780666533427278
2013-12-31,JP3351100007,1.5786560670789837e-18
2013-12-31,JP3351500008,0.0
2013-12-31,JP3351600006,0.0
2013-12-31,JP3352000008,0.0
2013-12-31,JP3352400000,0.0
2013-12-31,JP3357200009,0.019802238304666743
2013-12-31,JP3358000002,0.0
2013-12-31,JP3358200008,0.0
2013-12-31,JP3358800005,4.866563056582583e-19
2013-12-31,JP3359600008,0.006232382428420256
2013-12-31,JP3362700001,0.0
2013-12-31,JP3368000000,9.442315038461774e-19
2013-12-31,JP3371200001,0.0034491103902293146
2013-12-31,JP3375800004,0.0
2013-12-31,JP3381000003,0.0
2013-12-31,JP3385820000,0.0
2013-12-31,JP3385980002,1.8254927721047197e-19
2013-12-31,JP3386030005,1.3405067964102769e-19
2013-12-31,JP3388200002,9.911206576489917e-19
2013-12-31,JP3389900006,1.3081810201117483e-18
2013-12-31,JP3397200001,0.0
2013-12-31,JP3398000004,0.0
2013-12-31,JP3399400005,9.708282855669527e-19
2013-12-31,JP3400900001,1.4755200517035608e-18
2013-12-31,JP3401400001,0.0
2013-12-31,JP3402600005,0.0
2013-12-31,JP3404200002,2.2366099110372682e-18
2013-12-31,JP3404600003,0.0
2013-12-31,JP3405400007,4.3109909504198427e-19
2013-12-31,JP3407200009,4.858136425684688e-19
2013-12-31,JP3407400005,3.6174458606641054e-19
2013-12-31,JP3409000001,5.954565431035676e-19
2013-12-31,JP3411000007,7.678910135865706e-20
2013-12-31,JP3414750004,0.05128175845362003
2013-12-31,JP3415400005,0.0
2013-12-31,JP3419050004,1.4151969234152792e-18
2013-12-31,JP3419400001,1.458797166993776e-19
2013-12-31,JP3420600003,1.1323174699488261e-18
2013-12-31,JP3421100003,1.3245897943189857e-18
2013-12-31,JP3421800008,0.0
2013-12-31,JP3425000001,4.1456678498087507e-19
2013-12-31,JP3429800000,0.03326321990034822
2013-12-31,JP3435000009,4.781274988181743e-19
2013-12-31,JP3436100006,0.0
2013-12-31,JP3443600006,0.0
2013-12-31,JP3449020001,0.0
2013-12-31,JP3452000007,1.0746006592478744e-18
2013-12-31,JP3456000003,0.0
2013-12-31,JP3459600007,3.9670370851896473e-19
2013-12-31,JP3463000004,0.0
2013-12-31,JP3475350009,0.0
2013-12-31,JP3481800005,7.762689265322401e-19
2013-12-31,JP3485800001,5.542850217791951e-19
2013-12-31,JP3486800000,1.2645380705926581e-18
2013-12-31,JP3491000000,0.0
2013-12-31,JP3493400000,1.3321598885536508e-18
2013-12-31,JP3493800001,1.4348741006072555e-18
2013-12-31,JP3494600004,0.0
2013-12-31,JP3495000006,1.4799715585262152e-18
2013-12-31,JP3496400007,8.355547508300216e-19
2013-12-31,JP3499800005,2.3711738011614914e-18
2013-12-31,JP3502200003,0.0
2013-12-31,JP3505000004,0.0
2013-12-31,JP3511800009,1.1366799339946667e-18
2013-12-31,JP3519400000,1.033582331037652e-18
2013-12-31,JP3522200009,0.0
2013-12-31,JP3526600006,0.0005085972118669807
2013-12-31,JP3528600004,9.148222422049434e-19
2013-12-31,JP3535800001,1.8819485530061548e-18
2013-12-31,JP3538800008,7.39073767490284e-19
2013-12-31,JP3539220008,0.0
2013-12-31,JP3544000007,0.0
2013-12-31,JP3546800008,0.0
2013-12-31,JP3548610009,0.0
2013-12-31,JP3549600009,5.000631323004384e-19
2013-12-31,JP3551200003,2.004393136315382e-18
2013-12-31,JP3551500006,1.8107665404950365e-18
2013-12-31,JP3551520004,1.0018393650664722e-18
2013-12-31,JP3560800009,0.0
2013-12-31,JP3566800003,3.98487288894471e-19
2013-12-31,JP3571400005,9.421983161669564e-19
2013-12-31,JP3573000001,0.019286118429907895
2013-12-31,JP3574200006,0.0
2013-12-31,JP3579800008,1.5179752885116161e-18
2013-12-31,JP3582600007,0.0
2013-12-31,JP3585800000,0.0
2013-12-31,JP3588600001,0.0
2013-12-31,JP3592200004,7.699859839887691e-19
2013-12-31,JP3595200001,1.4965078273247366e-18
2013-12-31,JP3596200000,0.0
2013-12-31,JP3597800006,0.005863546520060759
2013-12-31,JP3598600009,1.6804466150414855e-19
2013-12-31,JP3599000001,0.0
2013-12-31,JP3600200004,0.03215287871101506
2013-12-31,JP3605400005,0.0
2013-12-31,JP3613000003,0.018720399817095407
2013-12-31,JP3613400005,1.1034844171759763e-18
2013-12-31,JP3619800000,1.997533604912078e-19
2013-12-31,JP3621000003,0.0
2013-12-31,JP3625000009,6.543263272852783e-19
2013-12-31,JP3626800001,0.0
2013-12-31,JP3629000005,2.1880742324727893e-18
2013-12-31,JP3633400001,8.528060006488589e-20
2013-12-31,JP3634200004,4.683152572590331e-19
2013-12-31,JP3634600005,0.0
2013-12-31,JP3635000007,0.0
2013-12-31,JP3635400009,0.0
2013-12-31,JP3637300009,0.0
2013-12-31,JP3638600001,9.287131747733383e-19
2013-12-31,JP3657400002,2.90119365624651e-19
2013-12-31,JP3659000008,2.1150405931467626e-18
2013-12-31,JP3663900003,0.0
2013-12-31,JP3665200006,1.4369025353349583e-18
2013-12-31,JP3667600005,7.798114968627497e-19
2013-12-31,JP3670800006,1.2018913367171052e-19
2013-12-31,JP3672400003,0.0
2013-12-31,JP3675600005,0.0003295305672620758
2013-12-31,JP3676800000,0.0
2013-12-31,JP3678000005,0.0
2013-12-31,JP3684000007,9.150856499985019e-19
2013-12-31,JP3684400009,0.0
2013-12-31,JP3686800008,4.1401308604850105e-19
2013-12-31,JP3688370000,8.386847064582212e-19
2013-12-31,JP3689500001,4.939843318394559e-19
2013-12-31,JP3695200000,0.0
2013-12-31,JP3711200000,0.06490342630460971
2013-12-31,JP3711600001,4.981151261731881e-19
2013-12-31,JP3718800000,0.0
2013-12-31,JP3720800006,0.0
2013-12-31,JP3721400004,0.0
2013-12-31,JP3726200003,2.1216514285702896e-18
2013-12-31,JP3726800000,4.278326314592995e-20
2013-12-31,JP3732200005,0.0
2013-12-31,JP3733000008,3.5599665675997356e-19
2013-12-31,JP3733400000,0.0
2013-12-31,JP3734800000,0.0014527828367974455
2013-12-31,JP3738600000,1.276438349495644e-18
2013-12-31,JP3742600004,7.832319182662487e-21
2013-12-31,JP3743000006,0.0
2013-12-31,JP3753000003,0.0
2013-12-31,JP3756100008,0.0028388304178075395
2013-12-31,JP3756600007,4.652691941869408e-19
2013-12-31,JP3762600009,0.0
2013-12-31,JP3762800005,0.0
2013-12-31,JP3765400001,0.014999596746486219
2013-12-31,JP3766550002,2.0343295986850096e-20
2013-12-31,JP3769000005,7.3837367559529555e-19
2013-12-31,JP3771800004,7.193007051977543e-19
2013-12-31,JP3774200004,1.8683812475147445e-18
2013-12-31,JP3778630008,0.0
2013-12-31,JP3780100008,0.0
2013-12-31,JP3783420007,5.101355528559942e-19
2013-12-31,JP3783600004,0.0
2013-12-31,JP3786200000,0.0
2013-12-31,JP3787000003,0.0
2013-12-31,JP3788600009,1.7289970055328369e-18
2013-12-31,JP3789000001,0.0
2013-12-31,JP3791200003,0.0
