NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,AN8068571086,1328.46,1871.58,2367.41,1719.65,1192.73,1981.01,2282.5,4016.64,4317.99,5235.53,2760.48,4545.04,6207.06,5454.28,5710.48,6275.3,6262.69,5218.44,6412.69,5901.03,3690.26,2927.71,2037.08,3613.74,4887.66,4668.04,3923.15
ALUAR,ARALUA010258,1197.79,1842.92,1696.14,1283.9,1390.25,2554.62,2424.86,2338.21,2838.57,3770.07,1608.15,2470.32,3879.73,2386.69,2050.0,2070.22,3244.62,2574.1,2659.71,3610.17,2463.05,2730.35,2844.24,4582.34,6044.83,7181.17,4496.21
BANCO BBVA ARGENTINA,ARP125991090,295.08,407.14,557.68,99.53,80.1,165.39,141.58,152.28,232.67,158.95,62.16,168.68,329.59,209.04,237.83,267.86,629.5,628.64,620.38,773.46,455.67,240.17,168.03,234.29,335.64,369.59,1162.25
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,69.81,177.1,135.08,56.11,85.67,223.71,297.31,442.55,347.12,420.85,163.0,317.98,443.05,345.18,313.83,418.95,662.39,509.57,662.53,812.0,428.66,421.45,626.44,1272.22,1693.55,1470.39,911.08
STRABAG SE,AT000000STR1,,,,,,,,,,119.39,36.07,62.16,64.03,65.12,62.04,67.41,53.93,59.73,91.3,110.24,92.06,89.93,99.95,148.62,147.45,170.82,231.32
FLUGHAFEN WIEN,AT00000VIE62,192.84,156.56,163.56,133.12,179.72,288.12,408.94,463.93,588.11,658.45,242.42,331.72,484.69,289.89,499.66,653.73,714.85,748.49,980.65,1578.46,1454.16,1450.94,1293.18,1162.6,1367.24,2035.5,2114.56
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,189.83,369.61,311.27,47.58,136.64,154.14,96.98,116.33,117.1,37.5,41.29,73.36,135.57,87.26,78.06,68.28,105.89,61.75,78.06,83.69
ERSTE GROUP BANK,AT0000652011,101.39,92.68,120.18,124.1,167.43,335.22,510.27,601.79,849.25,588.61,157.84,481.86,644.54,308.86,425.48,459.95,286.73,371.01,417.71,685.49,504.64,542.64,467.42,743.44,627.31,747.98,1113.07
TELEKOM AUSTRIA,AT0000720008,,,66.58,93.67,124.65,174.87,239.64,298.94,353.11,378.32,196.6,211.73,229.21,207.94,141.5,160.54,133.38,112.21,129.72,209.41,166.96,181.84,179.82,217.55,174.01,269.41,269.88
