ISIN,NAME,Country,Region
AN8068571086,SLB,US,AMER
ARALUA010258,ALUAR,AR,EM
ARP125991090,BANCO BBVA ARGENTINA,AR,EM
ARSIDE010029,TERNIUM ARGENTINA SOCIEDAD ANONIMA,AR,EM
AT000000STR1,STRABAG SE,AT,EUR
AT00000VIE62,FLUGHAFEN WIEN,AT,EUR
AT0000606306,RAIFFEISEN BANK INTL.,AT,EUR
AT0000652011,ERSTE GROUP BANK,AT,EUR
AT0000720008,TELEKOM AUSTRIA,AT,EUR
AT0000730007,ANDRITZ,AT,EUR
AT0000743059,OMV,AT,EUR
AT0000746409,VERBUND,AT,EUR
AT0000831706,WIENERBERGER,AT,EUR
AT0000908504,VIENNA INSURANCE GROUP A,AT,EUR
AT0000937503,VOESTALPINE,AT,EUR
AT0000938204,MAYR-MELNHOF KARTON,AT,EUR
AT0000A21KS2,CPI EUROPE AGE,AT,EUR
AU000000ABC7,ADBRI DEAD - DELIST.02/07/24,AU,PAC
AU000000ALL7,ARISTOCRAT LEISURE,AU,PAC
AU000000AMP6,AMP,AU,PAC
AU000000ANN9,ANSELL,AU,PAC
AU000000ANZ3,ANZ GROUP HOLDINGS,AU,PAC
AU000000APA1,APA GROUP,AU,PAC
AU000000ASX7,ASX,AU,PAC
AU000000BEN6,BENDIGO & ADELAIDE BANK,AU,PAC
AU000000BHP4,BHP GROUP,AU,PAC
AU000000BLD2,BORAL DEAD - DELIST.08/07/24,AU,PAC
AU000000BOQ8,BANK OF QLND.,AU,PAC
AU000000BPT9,BEACH ENERGY,AU,PAC
AU000000BSL0,BLUESCOPE STEEL,AU,PAC
AU000000BWP3,BWP GROUP STAPLED UNITS,AU,PAC
AU000000CBA7,COMMONWEALTH BK.OF AUS.,AU,PAC
AU000000CGF5,CHALLENGER,AU,PAC
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,AU,PAC
AU000000COH5,COCHLEAR,AU,PAC
AU000000CPU5,COMPUTERSHARE,AU,PAC
AU000000CQR9,CHARTER HALL RETAIL REIT,AU,PAC
AU000000CSL8,CSL,AU,PAC
AU000000CSR5,CSR DEAD - DEAD.10/07/24,AU,PAC
AU000000CWY3,CLEANAWAY WASTE MANAGEMENT,AU,PAC
