year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,vw_drift,158.93587593253304,158.93587593253304,0.0,True,True,benchmark (drift)
2013,2014,mv,213.08597115517773,,,True,True,Optimization terminated successfully
2013,2014,mv_50,106.54298557758888,106.54298557758887,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2013,2014,vw_50,79.46793796626653,79.46793796626652,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2013,2014,vw_nz,141.34645646548017,143.04228833927974,1.6958318737995626,True,True,Optimization terminated successfully
2014,2015,vw_drift,144.24716740836362,144.24716740836362,0.0,True,True,benchmark (drift)
2014,2015,mv,509.4634232629538,,,True,True,Optimization terminated successfully
2014,2015,mv_50,254.73171163147694,254.7317116314769,-2.842170943040401e-14,True,True,Optimization terminated successfully
2014,2015,vw_50,71.60700473987342,72.12358370418181,0.516578964308394,True,True,Optimization terminated successfully
2014,2015,vw_nz,107.62052861827934,128.73805950535177,21.117530887072434,True,True,Optimization terminated successfully
2015,2016,vw_drift,188.24456765503183,188.24456765503183,0.0,True,True,benchmark (drift)
2015,2016,mv,442.33265296197374,,,True,True,Optimization terminated successfully
2015,2016,mv_50,221.16632648098692,221.16632648098687,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,vw_50,94.12228382751593,94.12228382751591,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2015,2016,vw_nz,115.86425355481659,115.8642535548166,1.4210854715202004e-14,True,True,Optimization terminated successfully
2016,2017,vw_drift,240.36609664213782,240.36609664213782,0.0,True,True,benchmark (drift)
2016,2017,mv,508.5365432166689,,,True,True,Optimization terminated successfully
2016,2017,mv_50,254.2682716083345,254.26827160833446,-2.842170943040401e-14,True,True,Optimization terminated successfully
2016,2017,vw_50,120.18304832106892,120.18304832106891,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2016,2017,vw_nz,104.27782819933492,104.27782819933493,1.4210854715202004e-14,True,True,Optimization terminated successfully
2017,2018,vw_drift,211.39823118923746,211.39823118923746,0.0,True,True,benchmark (drift)
2017,2018,mv,499.69672175903787,,,True,True,Optimization terminated successfully
2017,2018,mv_50,249.848360879519,249.84836087951894,-5.684341886080802e-14,True,True,Optimization terminated successfully
2017,2018,vw_50,105.69911559461877,105.69911559461873,-4.263256414560601e-14,True,True,Optimization terminated successfully
2017,2018,vw_nz,93.85004537940144,93.85004537940145,1.4210854715202004e-14,True,True,Optimization terminated successfully
2018,2019,vw_drift,178.49309145504967,178.49309145504967,0.0,True,True,benchmark (drift)
2018,2019,mv,155.4940191252551,,,True,True,Optimization terminated successfully
2018,2019,mv_50,77.74700956262757,77.74700956262755,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2018,2019,vw_50,69.8822866205114,89.24654572752483,19.36425910701344,True,True,Optimization terminated successfully
2018,2019,vw_nz,70.54918634955597,84.4650408414613,13.915854491905336,True,True,Optimization terminated successfully
2019,2020,vw_drift,190.98128159299338,190.98128159299338,0.0,True,True,benchmark (drift)
2019,2020,mv,316.4180108031185,,,True,True,Optimization terminated successfully
2019,2020,mv_50,158.20900540155924,158.20900540155924,0.0,True,True,Optimization terminated successfully
2019,2020,vw_50,88.45625177246812,95.49064079649669,7.03438902402857,True,True,Optimization terminated successfully
2019,2020,vw_nz,76.01853675731518,76.01853675731518,0.0,True,True,Optimization terminated successfully
2020,2021,vw_drift,155.68820054808637,155.68820054808637,0.0,True,True,benchmark (drift)
2020,2021,mv,471.87753147101444,,,True,True,Optimization terminated successfully
2020,2021,mv_50,235.93876573550725,235.93876573550722,-2.842170943040401e-14,True,True,Optimization terminated successfully
2020,2021,vw_50,77.84410027404317,77.84410027404319,1.4210854715202004e-14,True,True,Optimization terminated successfully
2020,2021,vw_nz,68.41668308158364,68.41668308158366,1.4210854715202004e-14,True,True,Optimization terminated successfully
2021,2022,vw_drift,151.91725719111432,151.91725719111432,0.0,True,True,benchmark (drift)
2021,2022,mv,657.9427209774685,,,True,True,Optimization terminated successfully
2021,2022,mv_50,328.97136048873404,328.97136048873426,2.2737367544323206e-13,True,True,Optimization terminated successfully
2021,2022,vw_50,75.8492604393152,75.95862859555716,0.10936815624195617,True,True,Optimization terminated successfully
2021,2022,vw_nz,61.57501477342528,61.575014773425295,1.4210854715202004e-14,True,True,Optimization terminated successfully
2022,2023,vw_drift,153.05604454993136,153.05604454993136,0.0,True,True,benchmark (drift)
2022,2023,mv,505.7329690801422,,,True,True,Optimization terminated successfully
2022,2023,mv_50,252.86648454007133,252.8664845400711,-2.2737367544323206e-13,True,True,Optimization terminated successfully
2022,2023,vw_50,74.44183325306696,76.52802227496568,2.0861890218987185,True,True,Optimization terminated successfully
2022,2023,vw_nz,55.41751329608276,55.41751329608277,7.105427357601002e-15,True,True,Optimization terminated successfully
2023,2024,vw_drift,155.4434502664838,155.4434502664838,0.0,True,True,benchmark (drift)
2023,2024,mv,511.96749682530856,,,True,True,Optimization terminated successfully
2023,2024,mv_50,255.98374841265434,255.98374841265428,-5.684341886080802e-14,True,True,Optimization terminated successfully
2023,2024,vw_50,77.7217251332419,77.7217251332419,0.0,True,True,Optimization terminated successfully
2023,2024,vw_nz,49.875761966474485,49.875761966474485,0.0,True,True,Optimization terminated successfully
2024,2025,vw_drift,148.15346212545342,148.15346212545342,0.0,True,True,benchmark (drift)
2024,2025,mv,502.5909492166345,,,True,True,Optimization terminated successfully
2024,2025,mv_50,251.29547460831736,251.29547460831725,-1.1368683772161603e-13,True,True,Optimization terminated successfully
2024,2025,vw_50,73.3663385536144,74.07673106272671,0.7103925091123102,True,True,Optimization terminated successfully
2024,2025,vw_nz,44.88818576982705,44.88818576982705,0.0,True,True,Optimization terminated successfully
