year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_drift,0.0,
2013,2014,mv,0.13434528139663754,0.04875510761743499
2013,2014,mv_50,0.13372117137995612,0.05044329975177299
2013,2014,vw_50,0.0009981663483861819,0.028898531532871
2013,2014,vw_nz,0.0007894871734093622,0.015355205977647326
2014,2015,vw_drift,0.0,
2014,2015,mv,0.1339183751558356,0.12348060184554381
2014,2015,mv_50,0.1318443206392977,0.12159771810746446
2014,2015,vw_50,0.0013566499375967911,0.019548135702478712
2014,2015,vw_nz,0.0016251510131588083,0.020864601032703704
2015,2016,vw_drift,0.0,
2015,2016,mv,0.12600239622991172,0.0993344902944445
2015,2016,mv_50,0.12393758533973802,0.09225734585172801
2015,2016,vw_50,0.0014290359481111778,0.023145250393109145
2015,2016,vw_nz,0.0015273337630422696,0.02309740358572398
2016,2017,vw_drift,0.0,
2016,2017,mv,0.11797591029537484,0.04944771877535111
2016,2017,mv_50,0.11542106372715369,0.055965427258619506
2016,2017,vw_50,0.0014185224060237454,0.012572871619625389
2016,2017,vw_nz,0.0014723164851423774,0.011744760382106575
2017,2018,vw_drift,0.0,
2017,2018,mv,0.12177447039369504,0.05859138634626846
2017,2018,mv_50,0.11925849646284743,0.05598673487805059
2017,2018,vw_50,0.0013636938144227979,0.006678648370790674
2017,2018,vw_nz,0.0012963730436742374,0.006114942484286616
2018,2019,vw_drift,0.0,
2018,2019,mv,0.08320134550202407,0.03706960494768517
2018,2019,mv_50,0.08347088471216298,0.04195401621887354
2018,2019,vw_50,0.0009706805448150478,0.0570633512578084
2018,2019,vw_nz,0.0010102933953178887,0.057978340138822915
2019,2020,vw_drift,0.0,
2019,2020,mv,0.07721018713190297,0.07898249705681208
2019,2020,mv_50,0.0772689495081915,0.08986023705296685
2019,2020,vw_50,0.0009492071565765438,0.040643283875557684
2019,2020,vw_nz,0.0007589659132387687,0.0387526811912091
2020,2021,vw_drift,0.0,
2020,2021,mv,0.10278757037436845,0.08673167521000848
2020,2021,mv_50,0.10227983637709447,0.08787166252929911
2020,2021,vw_50,0.0010853096798524608,0.014768488816749874
2020,2021,vw_nz,0.0009505459975330475,0.015367150470962362
2021,2022,vw_drift,0.0,
2021,2022,mv,0.09611881353793952,0.08017545724478826
2021,2022,mv_50,0.09583134900137254,0.08306873304458352
2021,2022,vw_50,0.0009088478299708614,0.04210962558357339
2021,2022,vw_nz,0.0009066891468766048,0.04082881676587767
2022,2023,vw_drift,0.0,
2022,2023,mv,0.09675965486954698,0.2077800384362716
2022,2023,mv_50,0.09621419271934809,0.23695153172306077
2022,2023,vw_50,0.0010248594543787808,0.015591928428918211
2022,2023,vw_nz,0.001055408802383747,0.015528579521729256
2023,2024,vw_drift,0.0,
2023,2024,mv,0.09599066492165594,0.07619132425905445
2023,2024,mv_50,0.09517190364767296,0.080938492786368
2023,2024,vw_50,0.0009857774498283748,0.02700868139411368
2023,2024,vw_nz,0.0010390007596013417,0.030979902758209624
2024,2025,vw_drift,0.0,
2024,2025,mv,0.09181706246104573,0.0601303902489479
2024,2025,mv_50,0.09151252851486696,0.05873087848081811
2024,2025,vw_50,0.0010187965630044323,0.011516580669172589
2024,2025,vw_nz,0.0012401862830136552,0.014352457896402352
