year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,carbon_limit,optimization_success,optimization_message
2013,2014,vw,233,175.40612185545288,158.93587593253304,158.93587593253304,True,benchmark (drift)
2013,2014,mv,233,1252.977961367154,213.08597115517773,,True,Optimization terminated successfully
2014,2015,vw,246,155.56493277646152,144.24716740836362,144.24716740836362,True,benchmark (drift)
2014,2015,mv,246,874.829868113598,509.4634232629538,,True,Optimization terminated successfully
2015,2016,vw,268,337.0090679576652,188.24456765503183,188.24456765503183,True,benchmark (drift)
2015,2016,mv,268,2042.4185706232236,442.33265296197374,,True,Optimization terminated successfully
2016,2017,vw,294,441.50014483148516,240.36609664213782,240.36609664213782,True,benchmark (drift)
2016,2017,mv,294,3953.771092634339,508.5365432166689,,True,Optimization terminated successfully
2017,2018,vw,324,517.7790713154152,211.39823118923746,211.39823118923746,True,benchmark (drift)
2017,2018,mv,324,1133.9443841711745,499.69672175903787,,True,Optimization terminated successfully
2018,2019,vw,353,398.38128884213876,178.49309145504967,178.49309145504967,True,benchmark (drift)
2018,2019,mv,353,220.08675047810826,155.4940191252551,,True,Optimization terminated successfully
2019,2020,vw,392,300.91650474033236,190.98128159299338,190.98128159299338,True,benchmark (drift)
2019,2020,mv,392,549.5618071515557,316.4180108031185,,True,Optimization terminated successfully
2020,2021,vw,422,243.44492581086726,155.68820054808637,155.68820054808637,True,benchmark (drift)
2020,2021,mv,422,719.5162296592853,471.87753147101444,,True,Optimization terminated successfully
2021,2022,vw,454,201.91236146166443,151.91725719111432,151.91725719111432,True,benchmark (drift)
2021,2022,mv,454,984.0321479213544,657.9427209774685,,True,Optimization terminated successfully
2022,2023,vw,467,228.47262035079538,153.05604454993136,153.05604454993136,True,benchmark (drift)
2022,2023,mv,467,632.7835884951894,505.7329690801422,,True,Optimization terminated successfully
2023,2024,vw,466,206.06042558635784,155.4434502664838,155.4434502664838,True,benchmark (drift)
2023,2024,mv,466,372.15452659790833,511.96749682530856,,True,Optimization terminated successfully
2024,2025,vw,464,205.2968812170726,148.15346212545342,148.15346212545342,True,benchmark (drift)
2024,2025,mv,464,452.33174576528705,502.5909492166345,,True,Optimization terminated successfully
