year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,mv_50,106.54298557758455,106.54298557758452,-2.842170943040401e-14,True,True,Optimization terminated successfully
2014,2015,mv_50,254.73171163145116,254.7317116314511,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,mv_50,221.16632648098255,221.1663264809825,-5.684341886080802e-14,True,True,Optimization terminated successfully
2016,2017,mv_50,254.2682716083302,254.26827160833008,-1.1368683772161603e-13,True,True,Optimization terminated successfully
2017,2018,mv_50,249.84836087951157,249.84836087951152,-5.684341886080802e-14,True,True,Optimization terminated successfully
2018,2019,mv_50,77.7470095626276,77.74700956262751,-8.526512829121202e-14,True,True,Optimization terminated successfully
2019,2020,mv_50,158.20900540149916,158.2090054014992,5.684341886080802e-14,True,True,Optimization terminated successfully
2020,2021,mv_50,235.9387657355088,235.93876573550884,2.842170943040401e-14,True,True,Optimization terminated successfully
2021,2022,mv_50,328.97136048873506,328.9713604887352,1.1368683772161603e-13,True,True,Optimization terminated successfully
2022,2023,mv_50,252.86648454007263,252.86648454007246,-1.7053025658242404e-13,True,True,Optimization terminated successfully
2023,2024,mv_50,255.9837484126639,255.98374841266386,-5.684341886080802e-14,True,True,Optimization terminated successfully
2024,2025,mv_50,251.2954746083146,251.29547460831452,-8.526512829121202e-14,True,True,Optimization terminated successfully
