year,rank,ISIN,name,country,ci_tco2e_per_musd_revenue,vw_weight,vw_waci_contribution
2013,1,HK0006000050,POWER ASSETS HOLDINGS,HK,6673.762504925252,0.006374824918723893,42.54406751804269
2013,2,HK0002007356,CLP HOLDINGS,HK,2829.3242424076534,0.007427997979745903,21.016214756650157
2013,3,AU0000224040,WOODSIDE ENERGY GROUP,AU,1442.9465773539716,0.010564266713796063,15.24367249692652
2013,4,AU000000BHP4,BHP GROUP,AU,329.4660755146728,0.043802756567425306,14.431522302994177
2013,5,HK0019000162,SWIRE PACIFIC 'A',HK,2844.092886297964,0.004035102803746851,11.476207179617388
2013,6,JP3551200003,ELEC.POWER DEV.,JP,7599.154637949945,0.0012962946683127189,9.850743640858383
2013,7,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,950.9628751415604,0.004918574907873338,4.677382135990365
2013,8,AU000000STO6,SANTOS,AU,1071.9687806220209,0.004104103690072089,4.399471028192914
2013,9,SG1V61937297,SINGAPORE AIRLINES,SG,1164.5597140301559,0.0037145972834442356,4.325870350145013
2013,10,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,1242.2434126275682,0.002627089779788057,3.2634849733229228
2014,1,HK0006000050,POWER ASSETS HOLDINGS,HK,6805.780051772541,0.004979417839717504,33.888822602989706
2014,2,HK0002007356,CLP HOLDINGS,HK,2840.791553196561,0.005924762900996289,16.83101640384261
2014,3,AU0000224040,WOODSIDE ENERGY GROUP,AU,1800.2054235632997,0.008469504883307674,15.246848625826328
2014,4,JP3551200003,ELEC.POWER DEV.,JP,7962.301468720035,0.0014951101765390358,11.904517954555034
2014,5,AU000000BHP4,BHP GROUP,AU,362.9017238151618,0.032039064186939185,11.627031622864846
2014,6,HK0019000162,SWIRE PACIFIC 'A',HK,2575.9583332641487,0.0030369152610496258,7.822967174117851
2014,7,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1166.1681910641719,0.004289934649407418,5.002785329882961
2014,8,AU000000STO6,SANTOS,AU,1240.4462276633296,0.0035858507555733567,4.448055042714671
2014,9,SG1V61937297,SINGAPORE AIRLINES,SG,1174.6908398774221,0.0027780891272245986,3.2633958501137985
2014,10,HK0293001514,CATHAY PACIFIC AIRWAYS,HK,1286.9095693625366,0.002534575244296818,3.261769136154964
2015,1,HK0006000050,POWER ASSETS HOLDINGS,HK,32598.88814506505,0.006287987491739369,204.98140090077985
2015,2,HK0002007356,CLP HOLDINGS,HK,3213.992485417491,0.006282558384536433,20.192095437096746
2015,3,JP3551200003,ELEC.POWER DEV.,JP,8674.102008337657,0.0018476511990359293,16.026714976265033
2015,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1541.7130450656605,0.006237555193280394,9.616520210797441
2015,5,AU000000BHP4,BHP GROUP,AU,376.92924954224037,0.02077093707879625,7.829173725399765
2015,6,HK0019000162,SWIRE PACIFIC 'A',HK,2243.7011000585717,0.0034105047904242933,7.652153350030015
2015,7,JP3526600006,CHUBU ELEC.POWER,JP,2277.9756769147098,0.0027066432553579517,6.165667501790663
2015,8,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1520.4375639207483,0.002670981034446439,4.061059897292264
2015,9,SG1V61937297,SINGAPORE AIRLINES,SG,1216.5684301817355,0.0031283616613370932,3.8058660353735934
2015,10,JP3228600007,KANSAI ELECTRIC PWR.,JP,1576.5291064832456,0.0023800641551702437,3.752240415923345
2016,1,HK0006000050,POWER ASSETS HOLDINGS,HK,53359.06002298727,0.005517699542077605,294.4192610545283
2016,2,HK0002007356,CLP HOLDINGS,HK,3691.5513617910487,0.006080220235119596,22.445445288945237
2016,3,JP3551200003,ELEC.POWER DEV.,JP,8280.431850009829,0.0018007615363252868,14.911083179660537
2016,4,JP3381000003,NIPPON STEEL,JP,2080.53576273832,0.004859566862077133,10.110502647969511
2016,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2121.8560643441697,0.004453632029323721,9.44996612977797
2016,6,JP3526600006,CHUBU ELEC.POWER,JP,2279.5777438413556,0.0029872000084438036,6.809554655651204
2016,7,HK0019000162,SWIRE PACIFIC 'A',HK,2294.9406907901976,0.0024326465075894,5.582779456575579
2016,8,JP3228600007,KANSAI ELECTRIC PWR.,JP,1516.123685225157,0.003053127458663438,4.62891885409093
2016,9,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,1726.6637403164277,0.002444416933409492,4.220686085133646
2016,10,JP3386030005,JFE HOLDINGS,JP,1837.8734238765428,0.0022124566064250176,4.0662151984286234
2017,1,HK0006000050,POWER ASSETS HOLDINGS,HK,64111.19143578344,0.00489666061790745,313.93074627072616
2017,2,BMG2178K1009,CKI HOLDINGS,HK,10884.988866221121,0.005142427086811637,55.97526158529858
2017,3,HK0002007356,CLP HOLDINGS,HK,3735.899409601882,0.005873959741113801,21.944522728852274
2017,4,JP3381000003,NIPPON STEEL,JP,2211.9628018440712,0.005490207715256415,12.144135240544518
2017,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2347.377139164098,0.004958274190503555,11.638939484495419
2017,6,JP3551200003,ELEC.POWER DEV.,JP,8305.362171524384,0.0010462859516701451,8.689783763598614
2017,7,JP3526600006,CHUBU ELEC.POWER,JP,2481.9425622499703,0.0023901439437331758,5.932199983855367
2017,8,JP3386030005,JFE HOLDINGS,JP,1935.0867752721806,0.002664579954335937,5.156193431290823
2017,9,HK0019000162,SWIRE PACIFIC 'A',HK,2296.011772454923,0.002180941493516951,5.007467344150342
2017,10,AU000000BHP4,BHP GROUP,AU,299.30833264991264,0.015868536590042854,4.749585228359857
2018,1,HK0006000050,POWER ASSETS HOLDINGS,HK,62808.74455393191,0.0034813750516795795,218.6607963173742
2018,2,BMG2178K1009,CKI HOLDINGS,HK,11628.968070819103,0.00432687359457765,50.31707487781377
2018,3,HK0002007356,CLP HOLDINGS,HK,3248.8319877729405,0.004761773108035688,15.470200791903318
2018,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,2420.666599088588,0.004225968745179075,10.2296613902473
2018,5,JP3381000003,NIPPON STEEL,JP,1736.9336790854666,0.00445542760148088,7.738782255739122
2018,6,JP3551200003,ELEC.POWER DEV.,JP,7040.143525736156,0.0009270456610448897,6.526534508666975
2018,7,JP3386030005,JFE HOLDINGS,JP,1652.131321629222,0.002735375468815441,4.519199488446207
2018,8,JP3526600006,CHUBU ELEC.POWER,JP,2249.5163539838936,0.001767376361278438,3.9757420283403926
2018,9,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1542.8160768197024,0.0024726069975670823,3.8147778275033892
2018,10,AU000000BHP4,BHP GROUP,AU,248.67903060921853,0.01449688722349424,3.605071861589713
2019,1,HK0006000050,POWER ASSETS HOLDINGS,HK,48856.64616207542,0.0028554776276535237,139.50906007799077
2019,2,BMG2178K1009,CKI HOLDINGS,HK,9315.28439400259,0.004272571896696002,39.80022231154632
2019,3,HK0002007356,CLP HOLDINGS,HK,3282.525779349896,0.005823597855937115,19.116110090680362
2019,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1729.7994548000859,0.004603102709828539,7.962444557850205
2019,5,JP3551200003,ELEC.POWER DEV.,JP,6698.631675135595,0.0009156728183690008,6.133754945187271
2019,6,JP3381000003,NIPPON STEEL,JP,1476.9929167278851,0.003441101567004775,5.082482640207279
2019,7,JP3526600006,CHUBU ELEC.POWER,JP,1943.6428621888128,0.00230261720920133,4.47546550301729
2019,8,HK0019000162,SWIRE PACIFIC 'A',HK,1731.3907033185792,0.002099233013854676,3.634592524287428
2019,9,AU000000BHP4,BHP GROUP,AU,222.86707663618972,0.014963730308429537,3.3349228294120405
2019,10,AU000000STO6,SANTOS,AU,1584.3700131750015,0.0019377150949693668,3.070057690546015
2020,1,HK0006000050,POWER ASSETS HOLDINGS,HK,37478.094008770466,0.0028196113731168045,105.67366010986997
2020,2,BMG2178K1009,CKI HOLDINGS,HK,9655.811994900696,0.003382723699708548,32.66294407508066
2020,3,HK0002007356,CLP HOLDINGS,HK,4088.807021090376,0.0047989347375333264,19.621918048580767
2020,4,AU0000224040,WOODSIDE ENERGY GROUP,AU,1955.4665419034943,0.0039067516238943546,7.639522088052554
2020,5,JP3551200003,ELEC.POWER DEV.,JP,6347.283908784305,0.0007669976340697716,4.868351740806694
2020,6,HK2380027329,CHIN.PWR.INTDVT.,HK,11570.6682561746,0.00034565009986321137,3.99940263823084
2020,7,HK0270001396,GUANGDONG INVESTMENT,HK,1455.209579974441,0.002424919728417222,3.528766419461762
2020,8,JP3381000003,NIPPON STEEL,JP,1407.331806519695,0.0024302740581906646,3.4202019806514183
2020,9,AU000000BHP4,BHP GROUP,AU,217.79976768932278,0.013862602326864567,3.019271566360568
2020,10,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1733.7677965894336,0.0017139202254989395,2.9715396928933613
2021,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42609.82159750493,0.0018151285844929981,77.3423051617783
2021,2,BMG2178K1009,CKI HOLDINGS,HK,8081.865973918327,0.0022543264727359854,18.21916441410828
2021,3,HK0002007356,CLP HOLDINGS,HK,4644.565133232988,0.003708777961777833,17.22566080817623
2021,4,HK0836012952,CHINA RESOURCES POWER,HK,17055.72578687623,0.0008055052405887076,13.738476503372762
2021,5,AU0000224040,WOODSIDE ENERGY GROUP,AU,2260.913651945793,0.0028845272776460273,6.521667101439935
2021,6,HK2380027329,CHIN.PWR.INTDVT.,HK,12995.92535020833,0.0003571633104760517,4.641667720780049
2021,7,AU000000BHP4,BHP GROUP,AU,200.0919590946263,0.01588024365991793,3.1775090648129973
2021,8,JP3551200003,ELEC.POWER DEV.,JP,6671.917366846498,0.00045734403273288166,3.0513615946141264
2021,9,AU000000STO6,SANTOS,AU,1666.3763526614764,0.0016731798724334247,2.7881473731722046
2021,10,JP3381000003,NIPPON STEEL,JP,1356.2252941620889,0.0017918016573984362,2.4300867298853124
2022,1,HK0006000050,POWER ASSETS HOLDINGS,HK,42401.69916995975,0.0020395915616991155,86.4821478287543
2022,2,HK0836012952,CHINA RESOURCES POWER,HK,13241.034425628972,0.0018176890029327365,24.068082662919565
2022,3,BMG2178K1009,CKI HOLDINGS,HK,8102.955714048764,0.002415395662938171,19.571844088693453
2022,4,HK0002007356,CLP HOLDINGS,HK,4097.363173541027,0.00393062808670433,16.105210771348347
2022,5,HK2380027329,CHIN.PWR.INTDVT.,HK,11469.346197379677,0.0008329887132912726,9.553835931247447
2022,6,AU0000224040,WOODSIDE ENERGY GROUP,AU,1441.729267209635,0.0027833706742013205,4.012866962489058
