year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_50,0.0009981663483864271,0.028898531532871235
2014,2015,vw_50,0.0013566499375969449,0.019548135702477588
2015,2016,vw_50,0.0014290359481106156,0.023145250393106855
2016,2017,vw_50,0.0014185224060238593,0.012572871619625042
2017,2018,vw_50,0.0013636938144227318,0.006678648370790844
2018,2019,vw_50,0.0009706805448155964,0.057063351257808294
2019,2020,vw_50,0.0009492071565764184,0.040643283875557774
2020,2021,vw_50,0.0010853096798524116,0.014768488816750084
2021,2022,vw_50,0.0009088478299709694,0.042109625583572646
2022,2023,vw_50,0.001024859454379016,0.01559192842891874
2023,2024,vw_50,0.0009857774498284188,0.027008681394114067
2024,2025,vw_50,0.001018796563004316,0.011516580669172423
