year,implementation_year,anchor_cf_vw_2013,theta,carbon_limit_nz,carbon_footprint_vw,carbon_footprint_vw_nz,slack,feasible_within_1e-6,optimizer_success
2013,2014,158.93587593253307,0.1,143.04228833927976,158.93587593253307,141.34645646547972,1.6958318738000457,True,True
2014,2015,158.93587593253307,0.1,128.7380595053518,144.24716740836362,107.6205286182799,21.117530887071894,True,True
2015,2016,158.93587593253307,0.1,115.86425355481661,188.24456765503177,115.86425355481659,2.842170943040401e-14,True,True
2016,2017,158.93587593253307,0.1,104.27782819933495,240.3660966421378,104.27782819933495,0.0,True,True
2017,2018,158.93587593253307,0.1,93.85004537940146,211.39823118923744,93.85004537940148,-1.4210854715202004e-14,True,True
2018,2019,158.93587593253307,0.1,84.46504084146132,178.49309145504964,70.54918634955736,13.915854491903957,True,True
2019,2020,158.93587593253307,0.1,76.01853675731519,190.98128159299347,76.01853675731519,0.0,True,True
2020,2021,158.93587593253307,0.1,68.41668308158367,155.6882005480864,68.41668308158368,-1.4210854715202004e-14,True,True
2021,2022,158.93587593253307,0.1,61.5750147734253,151.91725719111435,61.57501477342529,1.4210854715202004e-14,True,True
2022,2023,158.93587593253307,0.1,55.41751329608278,153.05604454993139,55.417513296082774,7.105427357601002e-15,True,True
2023,2024,158.93587593253307,0.1,49.87576196647449,155.4434502664838,49.875761966474485,7.105427357601002e-15,True,True
2024,2025,158.93587593253307,0.1,44.888185769827054,148.15346212545342,44.88818576982706,-7.105427357601002e-15,True,True
