year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_nz,0.0007894871734093112,0.015355205977647302
2014,2015,vw_nz,0.0016251510131588558,0.020864601032703954
2015,2016,vw_nz,0.0015273337630421064,0.02309740358572327
2016,2017,vw_nz,0.0014723164851422224,0.011744760382107687
2017,2018,vw_nz,0.0012963730436742872,0.006114942484287105
2018,2019,vw_nz,0.0010102933953179535,0.057978340138822984
2019,2020,vw_nz,0.0007589659132386623,0.038752681191209
2020,2021,vw_nz,0.0009505459975328781,0.01536715047096175
2021,2022,vw_nz,0.0009066891468765778,0.0408288167658772
2022,2023,vw_nz,0.001055408802383822,0.015528579521729827
2023,2024,vw_nz,0.001039000759601466,0.0309799027582109
2024,2025,vw_nz,0.0012401862830135912,0.014352457896402139
