NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,203583,199582.0,229823.0,197526.0,283960.0,477985.0,539212.0,540833.0,613137.0,797066.0,642597.0,870787.0,1077118.0,1177125.0,1220123.0,1081928.0,1046084.0,996027.0,1071934.0,1238738.0,1184796.0,1016788.0,1103801.0,1118022.0,1208008.0,1253527.0,1191212.0
ARISTOCRAT LEISURE,AU000000ALL7,261745,350073.0,294387.0,390574.0,565475.0,743768.0,880040.0,977359.0,832705.0,1011061.0,681471.0,803288.0,685421.0,755882.0,806769.0,712488.0,662740.0,1110891.0,1634312.0,1948471.0,2576288.0,2944307.0,3137011.0,3374083.0,3959934.0,4104129.0,4090847.0
AMP,AU000000AMP6,16680712,18219001.0,14268210.0,6688775.0,6622008.0,7859220.0,8150451.0,8950856.0,10847682.0,9625172.0,-5484446.0,9182607.0,7219733.0,6064854.0,16364335.0,17460623.0,13519809.0,9660710.0,11340451.0,14556758.0,5983131.0,15833670.0,2511670.0,2162673.0,1610630.0,1850075.0,1707307.0
ANSELL,AU000000ANN9,3827914,3914437.0,3159689.0,1695980.0,795189.0,909923.0,847408.0,810116.0,934196.0,1126707.0,833552.0,1126100.0,1245424.0,1284019.0,1298331.0,1367261.0,1509041.0,1493763.0,1615746.0,1361188.0,1455614.0,1469034.0,1964284.0,2001204.0,1821367.0,1575962.0,1747021.0
ANZ GROUP HOLDINGS,AU000000ANZ3,7419763,6998250.0,7067885.0,6585887.0,6880986.0,9785938.0,13354135.0,15683600.0,19754901.0,26979498.0,22794747.0,26933408.0,33564505.0,38514132.0,37601051.0,30161821.0,30403539.0,28155338.0,30134996.0,31411534.0,26297037.0,24555981.0,22750546.0,17430316.0,20531808.0,35651431.0,40959265.0
APA GROUP,AU000000APA1,,,,98869.0,139327.0,183657.0,221137.0,281991.0,326708.0,620393.0,382660.0,580003.0,488911.0,756588.0,969708.0,1081398.0,1087348.0,1302377.0,1692147.0,1836972.0,1751705.0,1674497.0,1926036.0,1898457.0,2005984.0,1893929.0,1946429.0
ASX,AU000000ASX7,85432,96792.0,106108.0,99551.0,113021.0,160294.0,186488.0,208851.0,312186.0,545659.0,361494.0,485587.0,589528.0,665725.0,618590.0,781050.0,650499.0,630068.0,704258.0,700919.0,624948.0,605480.0,729476.0,711061.0,739384.0,679143.0,670223.0
BENDIGO & ADELAIDE BANK,AU000000BEN6,145643,174390.0,191358.0,276513.0,330687.0,504230.0,658713.0,777093.0,898549.0,1386598.0,2513531.0,2500530.0,3471676.0,4036976.0,3686681.0,2991601.0,2585263.0,2231281.0,2329510.0,2341770.0,2103531.0,1894108.0,1708678.0,1449333.0,1856168.0,2910250.0,3204794.0
BHP GROUP,AU000000BHP4,13555558,12239141.0,10954867.0,13196493.0,16054259.0,21712140.0,28159974.0,28965672.0,36521836.0,54176413.0,47268841.0,50405569.0,68587419.0,78217148.0,66774705.0,62551370.0,54917468.0,29521127.0,35080881.0,42585014.0,41549430.0,44077182.0,50476791.0,60571510.0,61511905.0,54349217.0,50519199.0
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,3008442,3117950.0,1315737.0,1710395.0,2151380.0,3016958.0,3271872.0,3376475.0,3800021.0,4525930.0,3247756.0,4067594.0,4556147.0,4726100.0,5323947.0,3761109.0,3380187.0,3015853.0,2981561.0,4052420.0,4143630.0,3925944.0,2167282.0,2098419.0,2228453.0,2359465.0,2242173.0
BANK OF QLND.,AU000000BOQ8,137244,152420.0,161304.0,172803.0,208349.0,344035.0,552345.0,648168.0,884445.0,1312073.0,1381303.0,1924131.0,2393551.0,3052389.0,2857077.0,2164737.0,1828732.0,1740281.0,1830318.0,1804111.0,1653272.0,1500476.0,1486993.0,1319971.0,1754855.0,2749037.0,3159386.0
BEACH ENERGY,AU000000BPT9,,,4435.0,4731.0,15434.0,26687.0,39421.0,57556.0,226092.0,456929.0,409563.0,448075.0,496906.0,563964.0,693940.0,803978.0,720740.0,403523.0,484297.0,548539.0,1402160.0,1318223.0,1141544.0,1163327.0,1279552.0,1156004.0,1169158.0
BLUESCOPE STEEL,AU000000BSL0,,,,,1434000.0,4094086.0,5426666.0,5995083.0,6695758.0,7502876.0,7497681.0,7281815.0,9172928.0,9703982.0,7908129.0,6683371.0,6479421.0,6073786.0,7646109.0,8677438.0,9035297.0,8062798.0,8543770.0,11758643.0,13464288.0,11394129.0,10204134.0
