year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,vw_drift,227.93158143785334,227.93158143785334,0.0,True,True,benchmark (drift)
2013,2014,mv,736.3526209252074,,,True,True,Optimization terminated successfully
2013,2014,mv_50,368.17631046260374,368.1763104626037,-5.684341886080802e-14,True,True,Optimization terminated successfully
2013,2014,vw_50,113.96579071892668,113.96579071892667,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2013,2014,vw_nz,205.13842329406805,205.13842329406802,-2.842170943040401e-14,True,True,Optimization terminated successfully
2014,2015,vw_drift,205.43825931077487,205.43825931077487,0.0,True,True,benchmark (drift)
2014,2015,mv,624.173161859958,,,True,True,Optimization terminated successfully
2014,2015,mv_50,312.08658092997905,312.086580929979,-5.684341886080802e-14,True,True,Optimization terminated successfully
2014,2015,vw_50,97.00955853687049,102.71912965538743,5.709571118516948,True,True,Optimization terminated successfully
2014,2015,vw_nz,176.24828271280668,184.62458096466122,8.376298251854536,True,True,Optimization terminated successfully
2015,2016,vw_drift,213.61806366731338,213.61806366731338,0.0,True,True,benchmark (drift)
2015,2016,mv,429.17450125133075,,,True,True,Optimization terminated successfully
2015,2016,mv_50,214.58725062566543,214.58725062566538,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,vw_50,100.12312533566413,106.80903183365669,6.685906497992562,True,True,Optimization terminated successfully
2015,2016,vw_nz,132.78310712749305,166.1621228681951,33.379015740702044,True,True,Optimization terminated successfully
2016,2017,vw_drift,265.1164462957488,265.1164462957488,0.0,True,True,benchmark (drift)
2016,2017,mv,501.5895774685211,,,True,True,Optimization terminated successfully
2016,2017,mv_50,250.79478873426064,250.79478873426055,-8.526512829121202e-14,True,True,Optimization terminated successfully
2016,2017,vw_50,132.55822314787446,132.5582231478744,-5.684341886080802e-14,True,True,Optimization terminated successfully
2016,2017,vw_nz,149.54591058137558,149.54591058137558,0.0,True,True,Optimization terminated successfully
2017,2018,vw_drift,232.77169483685017,232.77169483685017,0.0,True,True,benchmark (drift)
2017,2018,mv,493.4000681488217,,,True,True,Optimization terminated successfully
2017,2018,mv_50,246.70003407441092,246.70003407441084,-8.526512829121202e-14,True,True,Optimization terminated successfully
2017,2018,vw_50,113.98928674639757,116.38584741842509,2.396560672027519,True,True,Optimization terminated successfully
2017,2018,vw_nz,134.59131952323804,134.59131952323804,0.0,True,True,Optimization terminated successfully
2018,2019,vw_drift,181.3526352040792,181.3526352040792,0.0,True,True,benchmark (drift)
2018,2019,mv,880.7272245132597,,,True,True,Optimization terminated successfully
2018,2019,mv_50,440.36361225662984,440.36361225662984,0.0,True,True,Optimization terminated successfully
2018,2019,vw_50,90.67631760203962,90.6763176020396,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2018,2019,vw_nz,121.13218757091423,121.13218757091423,0.0,True,True,Optimization terminated successfully
2019,2020,vw_drift,194.76483248079626,194.76483248079626,0.0,True,True,benchmark (drift)
2019,2020,mv,656.4440442421123,,,True,True,Optimization terminated successfully
2019,2020,mv_50,328.2220221210562,328.22202212105617,-5.684341886080802e-14,True,True,Optimization terminated successfully
2019,2020,vw_50,58.982296930334286,97.38241624039813,38.40011931006384,True,True,Optimization terminated successfully
2019,2020,vw_nz,76.01807090448904,109.01896881382281,33.00089790933377,True,True,Optimization terminated successfully
2020,2021,vw_drift,154.7322862555128,154.7322862555128,0.0,True,True,benchmark (drift)
2020,2021,mv,490.60491712873977,,,True,True,Optimization terminated successfully
2020,2021,mv_50,245.30245856436994,245.30245856436989,-5.684341886080802e-14,True,True,Optimization terminated successfully
2020,2021,vw_50,77.3661431277564,77.3661431277564,0.0,True,True,Optimization terminated successfully
2020,2021,vw_nz,98.11707193244055,98.11707193244054,-1.4210854715202004e-14,True,True,Optimization terminated successfully
2021,2022,vw_drift,151.2048171958117,151.2048171958117,0.0,True,True,benchmark (drift)
