year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,mv_50,368.17631046260374,368.1763104626037,-5.684341886080802e-14,True,True,Optimization terminated successfully
2014,2015,mv_50,312.08658092997905,312.086580929979,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,mv_50,214.58725062566543,214.58725062566538,-5.684341886080802e-14,True,True,Optimization terminated successfully
2016,2017,mv_50,250.79478873426064,250.79478873426055,-8.526512829121202e-14,True,True,Optimization terminated successfully
2017,2018,mv_50,246.70003407441092,246.70003407441084,-8.526512829121202e-14,True,True,Optimization terminated successfully
2018,2019,mv_50,440.36361225662984,440.36361225662984,0.0,True,True,Optimization terminated successfully
2019,2020,mv_50,328.2220221210562,328.22202212105617,-5.684341886080802e-14,True,True,Optimization terminated successfully
2020,2021,mv_50,245.30245856436994,245.30245856436989,-5.684341886080802e-14,True,True,Optimization terminated successfully
2021,2022,mv_50,334.5536297857149,334.55362978571486,-5.684341886080802e-14,True,True,Optimization terminated successfully
2022,2023,mv_50,256.82416333793236,256.8241633379323,-5.684341886080802e-14,True,True,Optimization terminated successfully
2023,2024,mv_50,213.78846647883503,213.78846647883495,-8.526512829121202e-14,True,True,Optimization terminated successfully
2024,2025,mv_50,212.10933422221737,212.10933422221726,-1.1368683772161603e-13,True,True,Optimization terminated successfully
