year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_50,0.0014692014875381685,0.026679644852740343
2014,2015,vw_50,0.001320857787903582,0.02084165437356269
2015,2016,vw_50,0.0012375321405470143,0.018411735036881535
2016,2017,vw_50,0.001144157323779248,0.01658454253298594
2017,2018,vw_50,0.00114941104439798,0.015314569423585462
2018,2019,vw_50,0.0011180363612630655,0.019356149550891814
2019,2020,vw_50,0.0012887041287169888,0.07846869672585029
2020,2021,vw_50,0.001343617779057822,0.023953441131841387
2021,2022,vw_50,0.0010850650512061672,0.03147987586728291
2022,2023,vw_50,0.0011095389129442636,0.01793538747589739
2023,2024,vw_50,0.001146527884801829,0.025961289662804653
2024,2025,vw_50,0.0011104728516678351,0.014890123595235711
