year,implementation_year,anchor_cf_vw_2013,theta,carbon_limit_nz,carbon_footprint_vw,carbon_footprint_vw_nz,slack,feasible_within_1e-6,optimizer_success
2013,2014,227.93158143785334,0.1,205.13842329406802,227.93158143785334,205.13842329406805,-2.842170943040401e-14,True,True
2014,2015,227.93158143785334,0.1,184.62458096466122,205.43825931077487,176.24828271280668,8.376298251854536,True,True
2015,2016,227.93158143785334,0.1,166.1621228681951,213.61806366731338,132.78310712749305,33.379015740702044,True,True
2016,2017,227.93158143785334,0.1,149.54591058137558,265.1164462957488,149.54591058137558,0.0,True,True
2017,2018,227.93158143785334,0.1,134.59131952323804,232.77169483685017,134.59131952323804,0.0,True,True
2018,2019,227.93158143785334,0.1,121.13218757091423,181.3526352040792,121.13218757091423,0.0,True,True
2019,2020,227.93158143785334,0.1,109.01896881382281,194.76483248079626,76.01807090448904,33.00089790933377,True,True
2020,2021,227.93158143785334,0.1,98.11707193244054,154.7322862555128,98.11707193244055,-1.4210854715202004e-14,True,True
2021,2022,227.93158143785334,0.1,88.30536473919648,151.2048171958117,88.30536473919648,0.0,True,True
2022,2023,227.93158143785334,0.1,79.47482826527684,152.610710167221,79.42332585255147,0.051502412725369595,True,True
2023,2024,227.93158143785334,0.1,71.52734543874915,155.02705289637964,71.52734543874914,1.4210854715202004e-14,True,True
2024,2025,227.93158143785334,0.1,64.37461089487425,147.75891742561845,60.28060555617015,4.0940053387041,True,True
