year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_nz,0.0012626588734428825,0.025822252222455523
2014,2015,vw_nz,0.001501555870991971,0.018202717712839864
2015,2016,vw_nz,0.0011327674473076226,0.01729141817329821
2016,2017,vw_nz,0.0014026276402225892,0.016665848041750038
2017,2018,vw_nz,0.0011961434281298128,0.017320211999363365
2018,2019,vw_nz,0.0011471744000470325,0.02033368128362675
2019,2020,vw_nz,0.001299711312098399,0.07780232745964258
2020,2021,vw_nz,0.0010995207178239048,0.020655767348552127
2021,2022,vw_nz,0.0010823532759242777,0.030206746175635332
2022,2023,vw_nz,0.0010522043233272365,0.01647692437295386
2023,2024,vw_nz,0.0011731246808228428,0.025653923365564695
2024,2025,vw_nz,0.0010141863309306408,0.014218015513421927
