ISIN,eligible_history_36m,eligible_not_stale_120m,eligible_carbon_scope1_or_scope2,included_final,cutoff_date
AU000000ABC7,True,True,False,False,2013-12-31
AU000000ALL7,True,True,False,False,2013-12-31
AU000000AMP6,True,True,False,False,2013-12-31
AU000000ANN9,True,True,False,False,2013-12-31
AU000000ANZ3,True,True,True,True,2013-12-31
AU000000APA1,True,True,True,True,2013-12-31
AU000000ASX7,True,True,True,True,2013-12-31
AU000000BEN6,True,True,True,True,2013-12-31
AU000000BHP4,True,True,True,True,2013-12-31
AU000000BLD2,True,True,True,True,2013-12-31
AU000000BOQ8,True,True,False,False,2013-12-31
AU000000BPT9,True,True,False,False,2013-12-31
AU000000BSL0,True,True,True,True,2013-12-31
AU000000BWP3,True,True,True,True,2013-12-31
AU000000CBA7,True,True,True,True,2013-12-31
AU000000CGF5,True,True,False,False,2013-12-31
AU000000CIM7,True,True,True,True,2013-12-31
AU000000COH5,True,True,False,False,2013-12-31
AU000000CPU5,True,True,False,False,2013-12-31
AU000000CQR9,True,True,False,False,2013-12-31
AU000000CSL8,True,True,False,False,2013-12-31
AU000000CSR5,True,True,True,True,2013-12-31
AU000000CWY3,True,True,True,True,2013-12-31
AU000000DOW2,True,True,True,True,2013-12-31
AU000000DXS1,True,True,True,True,2013-12-31
AU000000ELD6,True,True,False,False,2013-12-31
AU000000ERA9,True,True,True,True,2013-12-31
AU000000FLT9,True,True,False,False,2013-12-31
AU000000GMG2,True,True,False,False,2013-12-31
AU000000GPT8,True,True,True,True,2013-12-31
AU000000GWA4,True,True,True,True,2013-12-31
AU000000HIL8,True,True,False,False,2013-12-31
AU000000HVN7,True,True,False,False,2013-12-31
AU000000IAG3,True,True,True,True,2013-12-31
AU000000IFL2,True,True,False,False,2013-12-31
AU000000IGO4,True,True,False,False,2013-12-31
AU000000ILU1,True,True,False,False,2013-12-31
AU000000IRE2,True,True,False,False,2013-12-31
AU000000IVC8,True,True,False,False,2013-12-31
AU000000JBH7,True,True,False,False,2013-12-31
AU000000LLC3,True,True,True,True,2013-12-31
AU000000MAH3,True,True,False,False,2013-12-31
AU000000MGR9,True,True,True,True,2013-12-31
AU000000MGX7,True,True,False,False,2013-12-31
AU000000MND5,True,True,False,False,2013-12-31
AU000000MQG1,True,True,True,True,2013-12-31
AU000000MTS0,True,True,False,False,2013-12-31
AU000000NAB4,True,True,True,True,2013-12-31
AU000000NCM7,True,True,False,False,2013-12-31
AU000000ORG5,True,True,True,True,2013-12-31
AU000000ORI1,True,True,True,True,2013-12-31
AU000000OZL8,True,True,True,True,2013-12-31
AU000000PPT9,True,True,False,False,2013-12-31
AU000000QAN2,True,True,True,True,2013-12-31
AU000000QBE9,True,True,True,True,2013-12-31
AU000000RHC8,True,True,False,False,2013-12-31
AU000000SBM8,True,True,False,False,2013-12-31
AU000000SDG6,True,True,False,False,2013-12-31
AU000000SEK6,True,True,False,False,2013-12-31
AU000000SGM7,True,True,True,True,2013-12-31
AU000000SGP0,True,True,True,True,2013-12-31
AU000000SHL7,True,True,True,True,2013-12-31
AU000000SIG5,True,True,False,False,2013-12-31
AU000000STO6,True,True,True,True,2013-12-31
AU000000SUN6,True,True,True,True,2013-12-31
AU000000SWM4,True,True,False,False,2013-12-31
AU000000SXL4,True,True,False,False,2013-12-31
AU000000TAH8,True,True,True,True,2013-12-31
AU000000TCL6,True,True,True,True,2013-12-31
AU000000TLS2,True,True,True,True,2013-12-31
AU000000WBC1,True,True,True,True,2013-12-31
AU000000WES1,True,True,False,False,2013-12-31
AU000000WOR2,True,True,False,False,2013-12-31
AU000000WOW2,True,True,True,True,2013-12-31
AU0000032187,True,True,False,False,2013-12-31
AU0000033359,True,True,False,False,2013-12-31
AU0000038911,True,True,True,True,2013-12-31
AU0000088338,True,True,True,True,2013-12-31
AU0000224040,True,True,True,True,2013-12-31
BMG2108M2182,True,True,False,False,2013-12-31
BMG2178K1009,True,True,False,False,2013-12-31
BMG2442N1048,True,True,True,True,2013-12-31
BMG2624N1535,True,True,False,False,2013-12-31
BMG4600H1198,True,True,False,False,2013-12-31
BMG4639H1227,True,False,False,False,2013-12-31
BMG507361001,True,True,False,False,2013-12-31
BMG524401079,True,True,True,True,2013-12-31
BMG5320C1082,True,True,False,False,2013-12-31
BMG668971101,True,True,False,False,2013-12-31
BMG677491539,True,True,True,True,2013-12-31
BMG684371393,True,True,True,True,2013-12-31
BMG8063F1068,True,True,False,False,2013-12-31
BMG8403G1033,True,True,False,False,2013-12-31
BMG988031446,True,True,False,False,2013-12-31
HK0000049939,True,True,False,False,2013-12-31
HK0000055878,True,True,False,False,2013-12-31
HK0000139300,True,True,False,False,2013-12-31
HK0000592854,True,True,False,False,2013-12-31
HK0000608585,True,True,False,False,2013-12-31
HK0000745908,True,True,False,False,2013-12-31
HK0002007356,True,True,False,False,2013-12-31
HK0003000038,True,True,True,True,2013-12-31
HK0004000045,True,True,False,False,2013-12-31
HK0006000050,True,True,False,False,2013-12-31
HK0008011667,True,True,False,False,2013-12-31
HK0010000088,True,True,True,True,2013-12-31
HK0011000095,True,True,True,True,2013-12-31
HK0012000102,True,True,True,True,2013-12-31
HK0014000126,True,True,False,False,2013-12-31
HK0016000132,True,True,True,True,2013-12-31
HK0019000162,True,True,True,True,2013-12-31
HK0023000190,True,True,False,False,2013-12-31
HK0066009694,True,True,True,True,2013-12-31
HK0083000502,True,True,False,False,2013-12-31
HK0101000591,True,True,False,False,2013-12-31
HK0144000764,True,True,False,False,2013-12-31
HK0165000859,True,True,False,False,2013-12-31
HK0200030994,True,True,True,True,2013-12-31
HK0242001243,True,True,False,False,2013-12-31
HK0270001396,True,True,False,False,2013-12-31
HK0291001490,True,True,False,False,2013-12-31
HK0293001514,True,True,True,True,2013-12-31
HK0308001558,True,True,False,False,2013-12-31
HK0363006039,True,True,False,False,2013-12-31
HK0388045442,True,True,True,True,2013-12-31
HK0392044647,True,True,False,False,2013-12-31
HK0440001847,True,True,False,False,2013-12-31
HK0688002218,True,True,False,False,2013-12-31
HK0823032773,True,True,True,True,2013-12-31
HK0836012952,True,True,False,False,2013-12-31
HK2380027329,True,True,False,False,2013-12-31
HK2388011192,True,True,False,False,2013-12-31
IE00BKVD2N49,True,True,True,True,2013-12-31
JP3027670003,True,True,False,False,2013-12-31
JP3027680002,True,True,True,True,2013-12-31
JP3039710003,True,True,False,False,2013-12-31
JP3040890000,True,True,False,False,2013-12-31
JP3102000001,True,True,False,False,2013-12-31
JP3108600002,True,True,False,False,2013-12-31
JP3111200006,True,True,False,False,2013-12-31
JP3112000009,True,True,True,True,2013-12-31
JP3116000005,True,True,False,False,2013-12-31
JP3118000003,True,True,True,True,2013-12-31
JP3119600009,True,True,True,True,2013-12-31
JP3122400009,True,True,True,True,2013-12-31
JP3122800000,True,True,False,False,2013-12-31
JP3125800007,True,True,False,False,2013-12-31
JP3126340003,True,True,False,False,2013-12-31
JP3126400005,True,True,True,True,2013-12-31
JP3131400008,True,True,False,False,2013-12-31
JP3131430005,True,True,False,False,2013-12-31
JP3134800006,True,True,True,True,2013-12-31
JP3137200006,True,True,False,False,2013-12-31
JP3143000002,True,True,False,False,2013-12-31
JP3143600009,True,True,False,False,2013-12-31
JP3143900003,True,False,False,False,2013-12-31
JP3148800000,True,True,True,True,2013-12-31
JP3152740001,True,True,False,False,2013-12-31
JP3156400008,True,True,False,False,2013-12-31
JP3158800007,True,True,False,False,2013-12-31
JP3160400002,True,True,False,False,2013-12-31
JP3162600005,True,True,False,False,2013-12-31
JP3164630000,True,True,False,False,2013-12-31
JP3164720009,True,True,False,False,2013-12-31
JP3164800009,True,True,True,True,2013-12-31
JP3165600002,True,True,True,True,2013-12-31
JP3165700000,True,True,True,True,2013-12-31
JP3166000004,True,True,False,False,2013-12-31
JP3167500002,False,True,False,False,2013-12-31
JP3172100004,True,True,False,False,2013-12-31
JP3173400007,True,True,False,False,2013-12-31
JP3174410005,True,True,False,False,2013-12-31
JP3180400008,True,True,False,False,2013-12-31
JP3188220002,True,True,False,False,2013-12-31
JP3190000004,True,True,True,True,2013-12-31
JP3194000000,True,True,True,True,2013-12-31
JP3196000008,True,True,False,False,2013-12-31
JP3197600004,True,True,True,True,2013-12-31
JP3197800000,True,True,True,True,2013-12-31
JP3198900007,True,True,False,False,2013-12-31
JP3200450009,True,True,True,True,2013-12-31
JP3201200007,True,True,True,True,2013-12-31
JP3203500008,True,True,False,False,2013-12-31
JP3205800000,True,True,True,True,2013-12-31
JP3209000003,True,True,True,True,2013-12-31
