,Date,RF
0,200001,0.41
1,200002,0.43
2,200003,0.47
3,200004,0.46
4,200005,0.5
5,200006,0.4
6,200007,0.48
7,200008,0.5
8,200009,0.51
9,200010,0.56
10,200011,0.51
11,200012,0.5
12,200101,0.54
13,200102,0.38
14,200103,0.42
15,200104,0.39
16,200105,0.32
17,200106,0.28
18,200107,0.3
19,200108,0.31
20,200109,0.28
21,200110,0.22
22,200111,0.17
23,200112,0.15
24,200201,0.14
25,200202,0.13
26,200203,0.13
27,200204,0.15
28,200205,0.14
29,200206,0.13
30,200207,0.15
31,200208,0.14
32,200209,0.14
33,200210,0.14
34,200211,0.12
35,200212,0.11
36,200301,0.1
37,200302,0.09
38,200303,0.1
39,200304,0.1
40,200305,0.09
41,200306,0.1
42,200307,0.07
43,200308,0.07
44,200309,0.08
45,200310,0.07
46,200311,0.07
47,200312,0.08
48,200401,0.07
49,200402,0.06
50,200403,0.09
51,200404,0.08
52,200405,0.06
53,200406,0.08
54,200407,0.1
55,200408,0.11
56,200409,0.11
57,200410,0.11
58,200411,0.15
59,200412,0.16
60,200501,0.16
61,200502,0.16
62,200503,0.21
63,200504,0.21
64,200505,0.24
65,200506,0.23
66,200507,0.24
67,200508,0.3
68,200509,0.29
69,200510,0.27
70,200511,0.31
71,200512,0.32
72,200601,0.35
73,200602,0.34
74,200603,0.37
75,200604,0.36
76,200605,0.43
77,200606,0.4
78,200607,0.4
79,200608,0.42
80,200609,0.41
81,200610,0.41
82,200611,0.42
83,200612,0.4
84,200701,0.44
85,200702,0.38
86,200703,0.43
87,200704,0.44
88,200705,0.41
89,200706,0.4
90,200707,0.4
91,200708,0.42
92,200709,0.32
93,200710,0.32
94,200711,0.34
95,200712,0.27
96,200801,0.21
97,200802,0.13
98,200803,0.17
99,200804,0.18
100,200805,0.18
101,200806,0.17
102,200807,0.15
103,200808,0.13
104,200809,0.15
105,200810,0.08
106,200811,0.03
107,200812,0.0
108,200901,0.0
109,200902,0.01
110,200903,0.02
111,200904,0.01
112,200905,0.0
113,200906,0.01
114,200907,0.01
115,200908,0.01
116,200909,0.01
117,200910,0.0
118,200911,0.0
119,200912,0.01
120,201001,0.0
121,201002,0.0
122,201003,0.01
123,201004,0.01
124,201005,0.01
125,201006,0.01
126,201007,0.01
127,201008,0.01
128,201009,0.01
129,201010,0.01
130,201011,0.01
131,201012,0.01
132,201101,0.01
133,201102,0.01
134,201103,0.01
135,201104,0.0
136,201105,0.0
137,201106,0.0
138,201107,0.0
139,201108,0.01
140,201109,0.0
141,201110,0.0
142,201111,0.0
143,201112,0.0
144,201201,0.0
145,201202,0.0
146,201203,0.0
147,201204,0.0
148,201205,0.01
149,201206,0.0
150,201207,0.0
151,201208,0.01
152,201209,0.01
153,201210,0.01
154,201211,0.01
155,201212,0.01
156,201301,0.0
157,201302,0.0
158,201303,0.0
159,201304,0.0
160,201305,0.0
161,201306,0.0
162,201307,0.0
163,201308,0.0
164,201309,0.0
165,201310,0.0
166,201311,0.0
167,201312,0.0
168,201401,0.0
169,201402,0.0
170,201403,0.0
171,201404,0.0
172,201405,0.0
173,201406,0.0
174,201407,0.0
175,201408,0.0
176,201409,0.0
177,201410,0.0
178,201411,0.0
179,201412,0.0
180,201501,0.0
181,201502,0.0
182,201503,0.0
183,201504,0.0
184,201505,0.0
185,201506,0.0
186,201507,0.0
187,201508,0.0
188,201509,0.0
189,201510,0.0
190,201511,0.0
191,201512,0.01
192,201601,0.01
193,201602,0.02
194,201603,0.02
195,201604,0.01
196,201605,0.01
197,201606,0.02
198,201607,0.02
199,201608,0.02
200,201609,0.02
201,201610,0.02
202,201611,0.01
203,201612,0.03
204,201701,0.04
205,201702,0.04
206,201703,0.03
207,201704,0.05
208,201705,0.06
209,201706,0.06
210,201707,0.07
211,201708,0.09
212,201709,0.09
213,201710,0.09
214,201711,0.08
215,201712,0.09
216,201801,0.12
217,201802,0.11
218,201803,0.11
219,201804,0.14
220,201805,0.14
221,201806,0.14
222,201807,0.16
223,201808,0.16
224,201809,0.15
225,201810,0.19
226,201811,0.18
227,201812,0.2
228,201901,0.21
229,201902,0.18
230,201903,0.19
231,201904,0.21
232,201905,0.21
233,201906,0.18
234,201907,0.19
235,201908,0.16
236,201909,0.18
237,201910,0.16
238,201911,0.12
239,201912,0.14
240,202001,0.13
241,202002,0.12
242,202003,0.13
243,202004,0.0
244,202005,0.01
245,202006,0.01
246,202007,0.01
247,202008,0.01
248,202009,0.01
249,202010,0.01
250,202011,0.01
251,202012,0.01
252,202101,0.01
253,202102,0.0
254,202103,0.0
255,202104,0.0
256,202105,0.0
257,202106,0.0
258,202107,0.0
259,202108,0.0
260,202109,0.0
261,202110,0.0
262,202111,0.0
263,202112,0.01
264,202201,0.0
265,202202,0.0
266,202203,0.01
267,202204,0.01
268,202205,0.03
269,202206,0.06
270,202207,0.08
271,202208,0.19
272,202209,0.19
273,202210,0.23
274,202211,0.29
275,202212,0.33
276,202301,0.35
277,202302,0.34
278,202303,0.36
279,202304,0.35
280,202305,0.36
281,202306,0.4
282,202307,0.45
283,202308,0.45
284,202309,0.43
285,202310,0.47
286,202311,0.44
287,202312,0.43
288,202401,0.47
289,202402,0.42
290,202403,0.43
291,202404,0.47
292,202405,0.44
293,202406,0.41
294,202407,0.45
