ISIN,NAME,Country
AU000000ABC7,ADBRI DEAD - DELIST.02/07/24,AU
AU000000ALL7,ARISTOCRAT LEISURE,AU
AU000000AMP6,AMP,AU
AU000000ANN9,ANSELL,AU
AU000000ANZ3,ANZ GROUP HOLDINGS,AU
AU000000APA1,APA GROUP,AU
AU000000ASX7,ASX,AU
AU000000BEN6,BENDIGO & ADELAIDE BANK,AU
AU000000BHP4,BHP GROUP,AU
AU000000BLD2,BORAL DEAD - DELIST.08/07/24,AU
AU000000BOQ8,BANK OF QLND.,AU
AU000000BPT9,BEACH ENERGY,AU
AU000000BSL0,BLUESCOPE STEEL,AU
AU000000BWP3,BWP GROUP STAPLED UNITS,AU
AU000000CBA7,COMMONWEALTH BK.OF AUS.,AU
AU000000CGF5,CHALLENGER,AU
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,AU
AU000000COH5,COCHLEAR,AU
AU000000CPU5,COMPUTERSHARE,AU
AU000000CQR9,CHARTER HALL RETAIL REIT,AU
AU000000CSL8,CSL,AU
AU000000CSR5,CSR DEAD - DEAD.10/07/24,AU
AU000000CWY3,CLEANAWAY WASTE MANAGEMENT,AU
AU000000DOW2,DOWNER EDI,AU
AU000000DXS1,DEXUS STAPLED UNITS,AU
AU000000ELD6,ELDERS,AU
AU000000ERA9,ENERGY RES.OF AUS.,AU
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,AU
AU000000GMG2,GOODMAN GROUP,AU
AU000000GPT8,GPT GROUP STAPLED UNITS,AU
AU000000GWA4,GWA GROUP,AU
AU000000HIL8,HILLS DEAD - DELIST.29/08/23,AU
AU000000HVN7,HARVEY NORMAN HOLDINGS,AU
AU000000IAG3,INSURANCE AUS.GROUP,AU
AU000000IFL2,INSIGNIA FINANCIAL,AU
AU000000IGO4,IGO,AU
AU000000ILU1,ILUKA RESOURCES,AU
AU000000IRE2,IRESS,AU
AU000000IVC8,INVOCARE DEAD - DELIST.27/11/23,AU
AU000000JBH7,JB HI-FI,AU
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,AU
AU000000MAH3,MACMAHON HOLDINGS,AU
AU000000MGR9,MIRVAC GROUP STAPLED UNITS,AU
AU000000MGX7,MGX RESOURCES,AU
AU000000MND5,MONADELPHOUS GROUP,AU
AU000000MQG1,MACQUARIE GROUP,AU
AU000000MTS0,METCASH,AU
AU000000NAB4,NATIONAL AUS.BANK,AU
AU000000NCM7,NEWCREST MINING DEAD - DELIST.08/11/23,AU
AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU
AU000000ORI1,ORICA,AU
AU000000OZL8,OZ MINERALS DEAD - DELIST.03/05/23,AU
AU000000PPT9,PERPETUAL,AU
AU000000QAN2,QANTAS AIRWAYS,AU
AU000000QBE9,QBE INSURANCE GROUP,AU
AU000000RHC8,RAMSAY HEALTH CARE,AU
AU000000SBM8,ST BARBARA,AU
AU000000SDG6,SUNLAND GROUP DEAD - DELIST.30/10/23,AU
AU000000SEK6,SEEK,AU
AU000000SGM7,SIMS,AU
AU000000SGP0,STOCKLAND STAPLED UNITS,AU
AU000000SHL7,SONIC HEALTHCARE,AU
AU000000SIG5,SIGMA HEALTHCARE,AU
AU000000STO6,SANTOS,AU
AU000000SUN6,SUNCORP GROUP,AU
AU000000SWM4,SEVEN WEST MEDIA DEAD - DELIST.08/01/26,AU
AU000000SXL4,SOUTHERN CROSS MEDIA GROUP,AU
AU000000TAH8,TABCORP HOLDINGS,AU
AU000000TCL6,TRANSURBAN GROUP STAPLED UNITS,AU
AU000000TLS2,TELSTRA GROUP,AU
AU000000WBC1,WESTPAC BANKING,AU
AU000000WES1,WESFARMERS,AU
AU000000WOR2,WORLEY,AU
AU000000WOW2,WOOLWORTHS GROUP,AU
