NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,AN8068571086,27090.18,33815.4,43817.53,31855.97,21885.1,36094.39,41318.77,72156.81,76746.63,93756.75,48784.34,79118.38,121237.2,103114.1,105861.9,112654.3,107942.4,86488.25,114713.2,101982.0,61624.89,46325.84,31341.27,55082.76,74261.63,70204.38,54611.76
ALUAR,ARALUA010258,896.86,1345.29,1210.22,906.29,972.17,1667.6,1450.59,1495.03,1725.35,2285.45,970.3,1887.81,2958.44,1747.4,1480.56,1484.13,2322.34,1833.55,1848.8,2291.55,1434.93,1507.85,1570.74,2499.08,3122.5,3634.73,2270.35
BANCO BBVA ARGENTINA,ARP125991090,983.18,1612.37,2139.19,367.5,519.38,1072.4,1072.79,1153.88,1749.44,1176.34,437.75,1176.73,2061.76,1187.79,1351.34,1521.97,3572.21,3567.37,3440.47,4715.42,2745.21,1402.83,981.47,1368.5,1782.9,1963.25,4915.75
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,559.53,1404.04,1053.3,437.54,668.0,1716.63,2256.1,3232.27,2500.74,2969.48,1130.43,2205.28,2961.87,2003.86,1768.3,2175.63,3296.19,2481.5,3040.21,3638.89,1878.58,1763.68,2621.55,5324.0,6728.52,5841.89,3619.76
STRABAG SE,AT000000STR1,,,,,,,,,,6791.36,2029.12,3370.35,3379.03,3346.35,3087.59,3313.26,2599.17,2808.4,4047.75,4767.95,3834.95,3594.26,3870.17,4514.45,4254.34,4682.74,5584.78
FLUGHAFEN WIEN,AT00000VIE62,726.07,568.98,768.9,592.59,759.72,1144.36,1558.76,1700.73,2087.11,2272.36,811.03,996.18,1383.23,786.97,1317.29,1685.67,1808.46,1855.32,2382.94,3766.35,3400.54,3315.94,2955.41,2656.98,3124.67,4573.36,4626.61
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,11217.37,21673.05,19647.82,2972.82,8239.01,11674.83,7120.45,8185.61,11192.33,3442.94,3790.82,6736.12,13975.59,8785.75,7518.23,6575.95,9676.25,5642.96,6776.3,6799.17
ERSTE GROUP BANK,AT0000652011,1968.84,1761.59,2505.22,2534.83,3958.23,7790.01,11879.47,17488.73,24950.21,17159.29,4538.45,14964.75,19635.38,9522.36,13245.36,15280.38,9448.3,12225.57,13470.02,21468.23,15279.93,15754.67,13570.87,20737.02,16599.17,18618.16,24947.88
TELEKOM AUSTRIA,AT0000720008,,,1048.59,1475.3,5099.18,7153.79,9690.51,11900.25,13623.43,12948.42,6420.56,6205.5,6236.59,5228.37,3381.96,3800.28,4329.55,3613.72,4139.98,6496.11,5037.2,5319.77,5067.52,5915.23,4522.0,5742.63,5531.09
ANDRITZ,AT0000730007,,,,221.65,305.63,618.65,1070.84,1517.18,2799.94,2639.97,1518.19,3116.06,4416.06,4924.1,7010.89,5731.03,5746.26,4790.24,5611.75,6138.99,5128.56,4054.86,4916.3,5683.94,6445.83,6319.49,5808.64
OMV,AT0000743059,2366.65,2532.87,2123.34,2267.12,2775.3,4566.8,9145.7,20361.59,16316.86,21229.42,8098.05,12142.52,13998.0,11171.61,13518.82,14068.53,8519.73,8119.46,11827.14,20555.93,16052.49,16009.75,13896.21,20252.66,15507.54,14279.38,13232.39
VERBUND,AT0000746409,2380.86,1525.36,1582.88,1170.41,1329.4,1959.32,3372.75,6599.08,7151.85,9632.4,5509.47,6247.31,6852.36,4917.43,3682.67,3646.27,2959.23,2004.08,2727.37,4581.82,8636.82,8756.78,15920.53,18442.26,14583.18,13709.41,12958.2
WIENERBERGER,AT0000831706,1677.76,1350.38,1323.06,1010.77,1114.24,1961.37,3451.03,3264.2,4617.13,4006.81,992.2,2297.29,2637.23,1393.27,1213.2,1835.77,1667.07,1859.78,2310.33,3183.69,2687.54,3345.07,3990.36,4226.43,3479.04,3758.57,3203.81
VIENNA INSURANCE GROUP A,AT0000908504,160.18,145.02,143.73,132.53,162.31,263.7,411.38,6549.07,7599.15,8217.84,3750.2,6441.63,7126.68,5634.71,6818.7,6037.89,5524.57,3125.39,3151.83,4502.21,3170.71,3446.42,3310.25,3817.37,3522.03,3622.74,4218.16
VOESTALPINE,AT0000937503,1016.9,1071.47,893.19,903.65,1027.92,1818.97,3024.53,4470.77,9083.95,10057.0,3266.99,6298.23,7765.28,6066.72,6412.51,7491.2,6196.97,4505.35,7643.97,11133.48,5680.12,4327.7,6627.74,6107.51,6036.17,5269.44,3620.63
MAYR-MELNHOF KARTON,AT0000938204,596.77,610.45,573.55,637.57,1006.09,1513.72,2023.08,1871.16,2319.88,2197.95,1433.09,2147.7,2389.76,1926.02,2388.88,2425.94,2082.83,2209.53,2306.21,3213.87,2642.26,2764.39,4012.71,3976.43,3395.99,2592.61,1571.91
CPI EUROPE AGE,AT0000A21KS2,201.24,262.8,360.6,586.05,979.3,1593.5,2342.6,3448.52,6938.69,4402.02,517.29,1609.71,4643.72,3916.36,5040.7,5292.57,2687.86,2054.23,1932.2,2785.45,2956.45,3117.07,2639.81,3601.63,1896.43,3243.14,2380.0
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,94.68,207.91,114.95,180.96,366.31,628.38,784.52,862.47,1146.98,1761.56,592.7,1418.35,2175.04,2014.48,2253.79,2137.54,1850.22,2158.78,2578.65,3433.77,2129.55,1527.28,1507.77,1385.39,867.06,1307.52,1294.24
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTOCRAT LEISURE,AU000000ALL7,517.31,1615.84,1415.6,1456.84,1184.3,759.41,3928.66,4015.87,5980.46,4271.85,1071.76,2098.32,1548.97,1428.25,2161.99,2200.79,3406.24,4791.63,7515.42,12402.3,11312.26,15216.19,15786.46,19695.38,16552.71,18733.35,28781.5
AMP,AU000000AMP6,13310.55,10232.96,11825.35,11011.54,6215.1,6153.99,11377.63,11616.74,15168.34,14360.92,6476.7,11246.93,11412.61,12959.59,16243.85,11049.06,13414.15,11195.2,11512.98,12236.11,4775.35,4026.74,3932.92,2210.26,2875.53,1724.35,2768.19
ANSELL,AU000000ANN9,1791.27,1210.84,711.77,526.21,812.75,892.47,1145.83,1297.93,1261.05,1480.68,846.36,1202.6,1797.85,2103.38,2339.18,2590.87,2707.47,2026.19,2462.17,2891.19,2247.14,2803.61,3684.06,2363.91,2531.57,2009.2,3142.68
ANZ GROUP HOLDINGS,AU000000ANZ3,10524.38,10425.3,12523.28,13326.14,15209.78,24030.47,29288.08,34506.82,42029.63,46526.28,18058.37,49018.52,62100.05,61416.36,76297.8,72119.45,72173.9,50177.36,66249.29,67932.51,51915.54,48025.15,52513.86,53933.74,53686.23,53445.29,55745.42
APA GROUP,AU000000APA1,,,336.62,316.92,368.61,509.78,798.95,874.73,1408.0,1379.54,912.07,1434.92,2250.47,3293.55,4990.55,4440.11,7258.14,6754.63,7134.95,7335.24,7946.61,9029.77,8754.59,8346.06,8944.42,7050.46,5342.7
ASX,AU000000ASX7,714.35,832.17,720.93,607.24,693.25,1265.06,1666.66,2691.69,5042.32,7423.1,2851.94,5264.4,6544.46,5638.88,6547.98,6082.4,5847.82,5608.34,7440.55,8576.4,9046.97,10960.9,10597.95,11644.78,9490.47,8295.35,7440.88
BENDIGO & ADELAIDE BANK,AU000000BEN6,220.03,209.12,281.95,492.98,563.97,848.38,1043.7,1304.15,1446.84,2980.34,1756.95,3127.41,3533.52,3331.86,3888.07,4146.86,4770.75,3374.1,4532.35,4552.06,3813.15,3362.47,3789.15,3507.56,4039.78,3616.15,4686.67
BHP GROUP,AU000000BHP4,15201.11,21095.0,18831.6,21306.88,19246.92,32268.94,46823.95,69021.42,72032.12,116587.78,63535.5,120042.18,154479.73,129672.21,126658.17,103112.54,74336.22,33775.33,66674.38,78573.95,74828.88,75444.78,100692.51,164582.71,175816.13,157316.77,123339.86
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,692.93,995.8,1431.69,2409.91,3272.72,3852.59,3848.39,3430.88,1164.37,2820.89,3538.92,3300.99,3888.78,3300.18,3433.63,2898.43,5121.33,7568.25,4203.08,3854.06,4830.38,5068.26,2774.33,3818.4,3903.73
BANK OF QLND.,AU000000BOQ8,210.8,183.33,205.16,209.78,273.3,667.07,813.79,1186.01,1323.19,1941.64,764.45,2023.11,2212.15,1825.92,2765.84,3171.64,3635.77,3443.41,3494.08,3899.87,2983.07,2272.4,2816.89,3593.49,3268.16,2580.27,2790.54
BEACH ENERGY,AU000000BPT9,6.53,13.59,17.91,34.48,34.13,75.89,105.49,430.94,814.69,1129.79,528.47,802.49,940.91,1766.6,1853.05,1621.85,1024.72,353.56,1109.74,2557.49,2976.21,3848.37,2922.04,2453.89,2358.28,2498.48,2134.02
BLUESCOPE STEEL,AU000000BSL0,,,,,1626.1,2951.67,5483.32,4015.67,4909.7,7032.71,1822.49,4239.27,4007.88,1473.73,1997.16,2707.49,2221.41,1844.19,4842.27,6579.37,4843.15,4647.36,6471.76,6701.12,6339.18,6790.34,5784.77
BWP GROUP STAPLED UNITS,AU000000BWP3,106.4,112.02,108.26,129.36,180.92,344.39,403.75,435.21,516.25,554.14,360.54,628.03,857.92,979.46,1331.97,1226.69,1450.66,1421.75,1440.12,1504.77,1706.34,1759.16,2088.63,1834.97,1811.88,1423.8,1476.32
COMMONWEALTH BK.OF AUS.,AU000000CBA7,14275.29,14731.82,22380.76,20930.41,19427.77,29028.37,33514.08,42747.13,50325.98,60514.74,24556.13,72633.33,81826.45,85974.35,108863.78,105661.91,113694.48,93902.32,108496.9,112441.62,89625.0,100215.06,116427.35,115159.92,131628.14,126429.3,163931.57
CHALLENGER,AU000000CGF5,118.03,194.73,157.57,191.54,262.24,905.85,1399.26,1597.92,1874.86,1958.53,458.68,1901.14,2376.24,2708.22,2161.64,2768.88,2833.34,3028.57,4810.37,6652.02,3198.15,3577.05,3451.19,2874.37,3508.21,2922.92,2616.98
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,1060.32,909.15,1034.74,1358.14,1627.36,2257.0,2573.63,4124.27,5117.55,12928.38,3096.93,10101.52,9671.59,8516.16,7356.62,4798.49,5465.86,5695.26,8680.75,12487.68,10490.97,6179.63,5936.01,3720.96,4865.65,4464.5,4242.57
COCHLEAR,AU000000COH5,286.12,667.23,1020.45,1125.15,1181.88,907.25,1147.51,1916.7,2363.06,3543.3,2045.28,3113.61,4434.98,3567.08,4809.83,2875.7,3716.29,3885.56,5584.36,8004.07,8137.08,9283.21,10121.55,9299.65,10136.97,13206.05,12649.13
COMPUTERSHARE,AU000000CPU5,793.56,2376.64,2411.58,930.37,614.98,1313.0,2761.89,2994.31,4305.56,4130.99,2436.98,5722.76,5753.45,4681.41,5906.01,5463.96,5005.92,4197.5,5419.19,7338.02,7053.55,6500.58,5944.0,8885.09,9921.16,9654.49,12573.5
CHARTER HALL RETAIL REIT,AU000000CQR9,220.91,223.73,219.97,226.14,474.85,721.91,1098.78,1774.44,2161.94,1865.16,214.3,776.47,954.85,1051.54,1362.05,1135.04,1282.96,1190.22,1306.66,1218.28,1317.39,1392.64,1553.46,1680.98,1701.33,1413.3,1170.21
