year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,carbon_limit,optimization_success,optimization_message
2013,2014,vw,259,190.81634078614445,227.09559940891506,227.09559940891506,True,benchmark (drift)
2013,2014,vw_50,259,118.03357486474854,113.54779970445753,113.54779970445753,True,Optimization terminated successfully
2014,2015,vw,269,174.99788471270875,208.08704951007485,208.08704951007485,True,benchmark (drift)
2014,2015,vw_50,269,98.09833292684917,104.04352475503744,104.04352475503742,True,Optimization terminated successfully
2015,2016,vw,290,345.5422590028087,217.0966058603796,217.0966058603796,True,benchmark (drift)
2015,2016,vw_50,290,148.4803640389799,108.54830293018982,108.5483029301898,True,Optimization terminated successfully
2016,2017,vw,314,443.4581448433128,265.1164462957488,265.1164462957488,True,benchmark (drift)
2016,2017,vw_50,314,216.66762736275683,132.5582231478744,132.5582231478744,True,Optimization terminated successfully
2017,2018,vw,341,517.2876877265007,232.77169483685017,232.77169483685017,True,benchmark (drift)
2017,2018,vw_50,341,529.6298042583494,116.38584741842513,116.38584741842509,True,Optimization terminated successfully
2018,2019,vw,365,395.54077286096106,181.3526352040792,181.3526352040792,True,benchmark (drift)
2018,2019,vw_50,365,169.18026088902067,90.67631760203963,90.6763176020396,True,Optimization terminated successfully
2019,2020,vw,403,300.37190715462316,194.76483248079626,194.76483248079626,True,benchmark (drift)
2019,2020,vw_50,403,413.80524297523164,93.42221068788228,97.38241624039813,True,Optimization terminated successfully
2020,2021,vw,432,241.89832665584217,154.73613770794228,154.73613770794228,True,benchmark (drift)
2020,2021,vw_50,432,123.40414818561221,63.759196396189054,77.36806885397114,True,Optimization terminated successfully
2021,2022,vw,462,201.42399234990904,151.9776765000583,151.9776765000583,True,benchmark (drift)
2021,2022,vw_50,462,115.53816682597684,75.85439290885145,75.98883825002915,True,Optimization terminated successfully
2022,2023,vw,474,227.96814234569143,153.18283330643,153.18283330643,True,benchmark (drift)
2022,2023,vw_50,474,70.0899643718038,76.591416653215,76.591416653215,True,Optimization terminated successfully
2023,2024,vw,472,205.49933002508607,155.0213829071157,155.0213829071157,True,benchmark (drift)
2023,2024,vw_50,472,168.85033461750177,77.51069145355785,77.51069145355785,True,Optimization terminated successfully
2024,2025,vw,469,204.75028905283327,147.75891742561845,147.75891742561845,True,benchmark (drift)
2024,2025,vw_50,469,78.64832837166588,73.8794587128092,73.87945871280922,True,Optimization terminated successfully
