year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,carbon_limit,optimization_success,optimization_message
2013,2014,vw_drift,259,190.81634078614445,227.09559940891506,227.09559940891506,True,annual VW allocation with drift
2013,2014,mv,259,1639.1052656584807,615.8530352320063,,True,Optimization terminated successfully
2013,2014,mv_50,259,1510.346595526841,307.9265176160032,307.92651761600314,True,Optimization terminated successfully
2013,2014,vw_50,259,104.232952915193,113.5477997044575,113.54779970445753,True,Optimization terminated successfully
2013,2014,vw_nz,259,122.52132096963535,183.06766028077487,204.38603946802357,True,Optimization terminated successfully
2014,2015,vw_drift,269,174.99788471270875,208.08704951007485,208.08704951007485,True,annual VW allocation with drift
2014,2015,mv,269,1539.5169734390615,725.7140370221076,,True,Optimization terminated successfully
2014,2015,mv_50,269,1334.5733035188605,362.85701851105387,362.8570185110538,True,Optimization terminated successfully
2014,2015,vw_50,269,95.78187533103355,103.37909962022297,104.04352475503742,True,Optimization terminated successfully
2014,2015,vw_nz,269,110.66376289981457,157.76983020648217,183.94743552122122,True,Optimization terminated successfully
2015,2016,vw_drift,290,345.5422590028087,217.0966058603796,217.0966058603796,True,annual VW allocation with drift
2015,2016,mv,290,3489.602396829445,532.4188721225503,,True,Optimization terminated successfully
2015,2016,mv_50,290,4010.599623771504,266.2094360612752,266.20943606127514,True,Optimization terminated successfully
2015,2016,vw_50,290,132.21160908024086,101.78132516104468,108.5483029301898,True,Optimization terminated successfully
2015,2016,vw_nz,290,103.82865994091297,140.23659849518248,165.5526919690991,True,Optimization terminated successfully
2016,2017,vw_drift,314,443.4581448433128,265.1164462957488,265.1164462957488,True,annual VW allocation with drift
2016,2017,mv,314,4468.496416220562,532.9005203317145,,True,Optimization terminated successfully
2016,2017,mv_50,314,5539.35317179381,266.4502601658573,266.45026016585723,True,Optimization terminated successfully
2016,2017,vw_50,314,170.84585855272186,132.55822314787443,132.5582231478744,True,Optimization terminated successfully
2016,2017,vw_nz,314,219.86729245432034,148.99742277218917,148.99742277218917,True,Optimization terminated successfully
2017,2018,vw_drift,341,517.2876877265007,232.77169483685017,232.77169483685017,True,annual VW allocation with drift
2017,2018,mv,341,1309.3386679206496,543.2216110998977,,True,Optimization terminated successfully
2017,2018,mv_50,341,1531.629996623084,271.61080554994885,271.61080554994885,True,Optimization terminated successfully
2017,2018,vw_50,341,410.7682641806135,103.8224137432795,116.38584741842509,True,Optimization terminated successfully
2017,2018,vw_nz,341,322.29285468024557,128.91003972160823,134.09768049497026,True,Optimization terminated successfully
2018,2019,vw_drift,365,395.54077286096106,181.3526352040792,181.3526352040792,True,annual VW allocation with drift
2018,2019,mv,365,1463.3764089887143,867.6819643802362,,True,Optimization terminated successfully
2018,2019,mv_50,365,1047.875699592683,433.8409821901181,433.8409821901181,True,Optimization terminated successfully
2018,2019,vw_50,365,113.5242729988619,90.67631760203962,90.6763176020396,True,Optimization terminated successfully
2018,2019,vw_nz,365,180.8074559280695,120.68791244547324,120.68791244547324,True,Optimization terminated successfully
2019,2020,vw_drift,403,300.37190715462316,194.76483248079626,194.76483248079626,True,annual VW allocation with drift
2019,2020,mv,403,425.89787018615675,549.2168723190027,,True,Optimization terminated successfully
2019,2020,mv_50,403,180.92687299570767,274.60843615950137,274.60843615950137,True,Optimization terminated successfully
2019,2020,vw_50,403,414.6648611924745,97.38241624039814,97.38241624039813,True,Optimization terminated successfully
2019,2020,vw_nz,403,428.25007265922204,104.49333646058295,108.61912120092593,True,Optimization terminated successfully
2020,2021,vw_drift,432,241.89832665584217,154.73613770794228,154.73613770794228,True,annual VW allocation with drift
2020,2021,mv,432,2554.7477209366825,1283.24762314194,,True,Optimization terminated successfully
2020,2021,mv_50,432,2998.506709492758,641.62381157097,641.62381157097,True,Optimization terminated successfully
2020,2021,vw_50,432,128.14707882044408,60.61990382460229,77.36806885397114,True,Optimization terminated successfully
2020,2021,vw_nz,432,250.1236250654875,97.75720908083336,97.75720908083333,True,Optimization terminated successfully
2021,2022,vw_drift,462,201.42399234990904,151.9776765000583,151.9776765000583,True,annual VW allocation with drift
2021,2022,mv,462,1592.4381638204218,1127.9486671775073,,True,Optimization terminated successfully
2021,2022,mv_50,462,2085.8921082600364,563.9743335887536,563.9743335887537,True,Optimization terminated successfully
2021,2022,vw_50,462,94.49492052550022,67.05057297718531,75.98883825002915,True,Optimization terminated successfully
2021,2022,vw_nz,462,112.1385551902209,80.65182955390097,87.98148817275,True,Optimization terminated successfully
2022,2023,vw_drift,474,227.96814234569143,153.18283330643,153.18283330643,True,annual VW allocation with drift
2022,2023,mv,474,322.95643681033687,543.9881282719231,,True,Optimization terminated successfully
2022,2023,mv_50,474,325.04297303042716,271.99406413596165,271.99406413596154,True,Optimization terminated successfully
2022,2023,vw_50,474,66.34632358466877,76.48726732311388,76.591416653215,True,Optimization terminated successfully
2022,2023,vw_nz,474,61.447873472586984,74.5425579137024,79.18333935547501,True,Optimization terminated successfully
2023,2024,vw_drift,472,205.49933002508607,155.0213829071157,155.0213829071157,True,annual VW allocation with drift
2023,2024,mv,472,157.73374499324208,342.5374035014697,,True,Optimization terminated successfully
2023,2024,mv_50,472,56.172946570092705,171.26870175073503,171.26870175073486,True,Optimization terminated successfully
2023,2024,vw_50,472,157.8924297895095,77.19024107963173,77.51069145355785,True,Optimization terminated successfully
2023,2024,vw_nz,472,154.83384539761502,70.76222840593665,71.2650054199275,True,Optimization terminated successfully
2024,2025,vw_drift,469,204.75028905283327,147.75891742561845,147.75891742561845,True,annual VW allocation with drift
2024,2025,mv,469,282.31073222676736,448.1154389914433,,True,Optimization terminated successfully
2024,2025,mv_50,469,93.91796788434425,224.05771949572195,224.05771949572164,True,Optimization terminated successfully
2024,2025,vw_50,469,71.50298270203592,73.22349633470351,73.87945871280922,True,Optimization terminated successfully
2024,2025,vw_nz,469,161.96415470458658,58.940078959017846,64.13850487793476,True,Optimization terminated successfully
