year,implementation_year,portfolio,hhi,effective_number_of_holdings,number_positive_weights,max_weight
2013,2014,vw_drift,0.014473377154503081,69.09237487042694,259,0.055441180920452166
2013,2014,mv,0.08934099010693786,11.193070490969902,30,0.15981600524211967
2013,2014,mv_50,0.08982229628096008,11.133093245267803,28,0.1816011382106944
2013,2014,vw_50,0.01622331059265745,61.639700127087046,208,0.06140669268331431
2013,2014,vw_nz,0.018220720037002373,54.882573134827524,239,0.06651052680010766
2014,2015,vw_drift,0.013224998052349873,75.6143778654331,269,0.060320388221274536
2014,2015,mv,0.09135225276780701,10.946637545345844,28,0.1885032821529193
2014,2015,mv_50,0.07938027144554843,12.59758856690177,28,0.15483460659007045
2014,2015,vw_50,0.015318127764243548,65.2821294736983,221,0.05105892147936454
2014,2015,vw_nz,0.017971203319698162,55.64457661574081,237,0.06563048821780171
2015,2016,vw_drift,0.011982660842396707,83.45391838696032,290,0.06154282646831254
2015,2016,mv,0.09777277973718221,10.22779553458587,32,0.2215186853720935
2015,2016,mv_50,0.07638950180541015,13.090804055082563,33,0.15722015021121866
2015,2016,vw_50,0.013699370691217403,72.99605379983585,239,0.045623537814598325
2015,2016,vw_nz,0.017020566357113694,58.752451535318805,242,0.06160268506248003
2016,2017,vw_drift,0.010828612968513979,92.34793070060486,314,0.056036255340332596
2016,2017,mv,0.10488020724369303,9.53468749042861,34,0.24989813820647974
2016,2017,mv_50,0.07024793656538883,14.235293574341089,29,0.1355162390643692
2016,2017,vw_50,0.012154137642355244,82.27650775610427,276,0.045113252005213565
2016,2017,vw_nz,0.012840784048232412,77.87686454688522,268,0.0451188884471157
2017,2018,vw_drift,0.008899323596878788,112.36809057608879,341,0.04360365263139412
2017,2018,mv,0.1039313222785333,9.621738452629568,33,0.25471182322602537
2017,2018,mv_50,0.07213389039088686,13.86310920679715,28,0.1473577112369097
2017,2018,vw_50,0.011999736325047132,83.33516444962987,288,0.05343403400769433
2017,2018,vw_nz,0.013094928946447561,76.3654391779868,277,0.058904409024524415
2018,2019,vw_drift,0.007958902654628229,125.64546186759604,365,0.04114626638357326
2018,2019,mv,0.17441376500319564,5.733492422353693,30,0.3750723500729311
2018,2019,mv_50,0.10959906266391083,9.124165624176307,28,0.26894544642932516
2018,2019,vw_50,0.013904839477493514,71.9174070019728,282,0.07244156514777633
2018,2019,vw_nz,0.015001182171059372,66.66141298711932,286,0.07800134755592701
2019,2020,vw_drift,0.007308370412452194,136.82940841314962,403,0.039417783834975635
2019,2020,mv,0.05074607610638227,19.705957124717102,33,0.08574926356526608
2019,2020,mv_50,0.054026947681682196,18.50928181047417,32,0.11658405247446466
2019,2020,vw_50,0.07401956993303199,13.509940694126348,249,0.24922584888362279
2019,2020,vw_nz,0.07394617192800229,13.523350484912866,248,0.25145519010560285
2020,2021,vw_drift,0.007499459576650875,133.3429415518741,432,0.04153248298163231
2020,2021,mv,0.09343517614233457,10.70260731864677,30,0.23435598915684486
2020,2021,mv_50,0.0548212049814248,18.241116741940136,33,0.10282401040248938
2020,2021,vw_50,0.061306456837968225,16.311495584273946,266,0.22061338934246782
2020,2021,vw_nz,0.06369607674357287,15.699554056143702,258,0.231355289353714
2021,2022,vw_drift,0.007748685420436856,129.05414863823725,462,0.03640685018215735
2021,2022,mv,0.09118543673829502,10.966663491123374,27,0.16758211536042375
2021,2022,mv_50,0.06220345403503736,16.076277684463143,33,0.10538823732837128
2021,2022,vw_50,0.02932072066116584,34.10557371887729,322,0.14008373297910975
2021,2022,vw_nz,0.03425044111999061,29.19670425547717,294,0.15525367323961817
2022,2023,vw_drift,0.008655919096588967,115.52788200089223,474,0.050348465877550375
2022,2023,mv,0.06188962947840405,16.157795876754165,29,0.10889272733735002
2022,2023,mv_50,0.061637596936374744,16.22386416252158,29,0.11449674112643876
2022,2023,vw_50,0.024978469584632318,40.034478357922985,330,0.12293822691065708
2022,2023,vw_nz,0.025858707815085265,38.67169261321818,332,0.12659502243730988
2023,2024,vw_drift,0.008355804290411032,119.67728841466305,472,0.04022768306788546
2023,2024,mv,0.05862896432609424,17.056415911391525,32,0.12174035598840166
2023,2024,mv_50,0.05759551768970349,17.362462221235887,31,0.11349874309713626
2023,2024,vw_50,0.02076500983927769,48.15793528344338,350,0.1055493723928567
2023,2024,vw_nz,0.020965793975841994,47.69673884768009,334,0.10563768546851443
2024,2025,vw_drift,0.009469982596996968,105.59681496321974,469,0.05248080428417222
2024,2025,mv,0.058430806935038014,17.114259625265422,36,0.1351435785899139
2024,2025,mv_50,0.05127538791106625,19.502534076084096,33,0.11508237442730428
2024,2025,vw_50,0.016786404795616845,59.57201748531129,327,0.08077557029550785
2024,2025,vw_nz,0.015517959212773028,64.44146335794512,332,0.07431688858001438
