year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,vw_drift,227.09559940891506,227.09559940891506,0.0,True,True,annual VW allocation with drift
2013,2014,mv,615.8530352320063,,,True,True,Optimization terminated successfully
2013,2014,mv_50,307.9265176160032,307.92651761600314,-5.684341886080802e-14,True,True,Optimization terminated successfully
2013,2014,vw_50,113.5477997044575,113.54779970445753,2.842170943040401e-14,True,True,Optimization terminated successfully
2013,2014,vw_nz,183.06766028077487,204.38603946802357,21.318379187248695,True,True,Optimization terminated successfully
2014,2015,vw_drift,208.08704951007485,208.08704951007485,0.0,True,True,annual VW allocation with drift
2014,2015,mv,725.7140370221076,,,True,True,Optimization terminated successfully
2014,2015,mv_50,362.85701851105387,362.8570185110538,-5.684341886080802e-14,True,True,Optimization terminated successfully
2014,2015,vw_50,103.37909962022297,104.04352475503742,0.6644251348144508,True,True,Optimization terminated successfully
2014,2015,vw_nz,157.76983020648217,183.94743552122122,26.177605314739054,True,True,Optimization terminated successfully
2015,2016,vw_drift,217.0966058603796,217.0966058603796,0.0,True,True,annual VW allocation with drift
2015,2016,mv,532.4188721225503,,,True,True,Optimization terminated successfully
2015,2016,mv_50,266.2094360612752,266.20943606127514,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,vw_50,101.78132516104468,108.5483029301898,6.766977769145129,True,True,Optimization terminated successfully
2015,2016,vw_nz,140.23659849518248,165.5526919690991,25.316093473916624,True,True,Optimization terminated successfully
2016,2017,vw_drift,265.1164462957488,265.1164462957488,0.0,True,True,annual VW allocation with drift
2016,2017,mv,532.9005203317145,,,True,True,Optimization terminated successfully
2016,2017,mv_50,266.4502601658573,266.45026016585723,-5.684341886080802e-14,True,True,Optimization terminated successfully
2016,2017,vw_50,132.55822314787443,132.5582231478744,-2.842170943040401e-14,True,True,Optimization terminated successfully
2016,2017,vw_nz,148.99742277218917,148.99742277218917,0.0,True,True,Optimization terminated successfully
2017,2018,vw_drift,232.77169483685017,232.77169483685017,0.0,True,True,annual VW allocation with drift
2017,2018,mv,543.2216110998977,,,True,True,Optimization terminated successfully
2017,2018,mv_50,271.61080554994885,271.61080554994885,0.0,True,True,Optimization terminated successfully
2017,2018,vw_50,103.8224137432795,116.38584741842509,12.563433675145589,True,True,Optimization terminated successfully
