year,implementation_year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_annual
2013,2014,vw_drift,0.0,
2013,2014,mv,0.13430553065105225,0.04667693104191148
2013,2014,mv_50,0.13350374584837246,0.04850451166357771
2013,2014,vw_50,0.0014692014875381685,0.026679644852740343
2013,2014,vw_nz,0.0012626588734428825,0.025822252222455523
2014,2015,vw_drift,0.0,
2014,2015,mv,0.13197774425578326,0.12525793988954306
2014,2015,mv_50,0.13073487460394564,0.12408168529867533
2014,2015,vw_50,0.001320857787903582,0.02084165437356269
2014,2015,vw_nz,0.001501555870991971,0.018202717712839864
2015,2016,vw_drift,0.0,
2015,2016,mv,0.125128546339983,0.09312257550073492
2015,2016,mv_50,0.12276867987573223,0.08882059100597577
2015,2016,vw_50,0.0012375321405470143,0.018411735036881535
2015,2016,vw_nz,0.0011327674473076226,0.01729141817329821
2016,2017,vw_drift,0.0,
2016,2017,mv,0.11743617310250394,0.04717908237685136
2016,2017,mv_50,0.11497299201897786,0.05244808609218212
2016,2017,vw_50,0.001144157323779248,0.01658454253298594
2016,2017,vw_nz,0.0014026276402225892,0.016665848041750038
2017,2018,vw_drift,0.0,
2017,2018,mv,0.12072872133819348,0.05931838808305354
2017,2018,mv_50,0.11814583252712765,0.05592185672116003
2017,2018,vw_50,0.00114941104439798,0.015314569423585462
2017,2018,vw_nz,0.0011961434281298128,0.017320211999363365
2018,2019,vw_drift,0.0,
2018,2019,mv,0.10654712915043861,0.05363110084324693
2018,2019,mv_50,0.10288606912485453,0.053319061925695826
2018,2019,vw_50,0.0011180363612630655,0.019356149550891814
2018,2019,vw_nz,0.0011471744000470325,0.02033368128362675
2019,2020,vw_drift,0.0,
2019,2020,mv,0.07870254848738796,0.07697541832422598
2019,2020,mv_50,0.0787737998245207,0.07339239548259731
2019,2020,vw_50,0.0012887041287171013,0.0784686967258502
2019,2020,vw_nz,0.0012997113120984546,0.07780232745964244
2020,2021,vw_drift,0.0,
2020,2021,mv,0.10250275381364368,0.08316597949641082
2020,2021,mv_50,0.10170038828194033,0.08495543213283542
2020,2021,vw_50,0.001343617779057822,0.023953441131841387
2020,2021,vw_nz,0.0010995207178239048,0.020655767348552127
2021,2022,vw_drift,0.0,
2021,2022,mv,0.09633137470971789,0.08240672595834
2021,2022,mv_50,0.09564052436308404,0.08571578734011236
2021,2022,vw_50,0.0010850650512061672,0.03147987586728291
2021,2022,vw_nz,0.0010823532759242777,0.030206746175635332
2022,2023,vw_drift,0.0,
2022,2023,mv,0.09626783375812283,0.21235841378736414
2022,2023,mv_50,0.09575522277269786,0.2377999568997409
2022,2023,vw_50,0.0011095389129442636,0.01793538747589739
2022,2023,vw_nz,0.0010522043233272365,0.01647692437295386
2023,2024,vw_drift,0.0,
2023,2024,mv,0.09966913468744897,0.08003328211682921
2023,2024,mv_50,0.09981298145805824,0.08607714563008215
2023,2024,vw_50,0.001146527884801829,0.025961289662804653
2023,2024,vw_nz,0.0011731246808228428,0.025653923365564695
2024,2025,vw_drift,0.0,
2024,2025,mv,0.09388488040658634,0.09539930264633845
2024,2025,mv_50,0.09456899454241222,0.10376362890367591
2024,2025,vw_50,0.0011104728516678351,0.014890123595235711
2024,2025,vw_nz,0.0010141863309306408,0.014218015513421927
