year,ISIN,name,country,weight
2013,HK0006000050,POWER ASSETS HOLDINGS,HK,0.1734518522545854
2013,JP3982100004,LAWSON DEAD - DELIST.24/07/24,JP,0.13819618594968203
2013,HK0002007356,CLP HOLDINGS,HK,0.13150228136398512
2013,JP3414750004,SEIKO EPSON,JP,0.08646436175743448
2013,JP3977400005,RINNAI,JP,0.0557846817391729
2013,JP3260800002,KINTETSU GROUP HDG.,JP,0.04746057435705025
2013,JP3371200001,SHIN-ETSU CHEMICAL,JP,0.04079117692183959
2013,JP3500610005,RESONA HOLDINGS,JP,0.04067591685945574
2013,JP3429800000,ANA HOLDINGS,JP,0.03676342621540353
2013,JP3734800000,NIDEC,JP,0.03380855036747815
2013,JP3350800003,SHIKOKU ELECTRIC POWER,JP,0.027807287668694076
2013,JP3738600000,NITERRA,JP,0.024042434798211894
2013,JP3119600009,AJINOMOTO,JP,0.022531614741654864
2013,BMG8063F1068,SHANGRI-LA ASIA,HK,0.02019407980987552
2013,AU000000SIG5,SIGMA HEALTHCARE,AU,0.01870380442097291
2013,HK0019000162,SWIRE PACIFIC 'A',HK,0.01694751894676264
2013,JP3357200009,SHIMADZU,JP,0.016222654658368824
2013,JP3164800009,NOK,JP,0.01609953322368641
2013,AU000000SBM8,ST BARBARA,AU,0.015213361908050253
2013,JP3633400001,TOYOTA MOTOR,JP,0.009872054333615264
2013,JP3526600006,CHUBU ELEC.POWER,JP,0.007250026157346537
2013,JP3850200001,HOKKAIDO ELEC.POWER,JP,0.0058121957209122934
2013,JP3814800003,SUBARU,JP,0.005337666018370532
2013,JP3902900004,MITSUBISHI UFJ FINL.GP.,JP,0.005166187937997052
2013,JP3463000004,TAKEDA PHARMACEUTICAL,JP,0.002469097895212654
2013,JP3358800005,SHIMIZU,JP,0.0007808743433248731
2013,NZAIAE0002S6,AUCKLAND INTL.AIRPORT,NZ,0.0006505996308561692
2014,HK0002007356,CLP HOLDINGS,HK,0.19032032408213917
2014,JP3982100004,LAWSON DEAD - DELIST.24/07/24,JP,0.14018483655407069
