year,implementation_year,portfolio,n_assets,waci_tco2e_per_musd_revenue,carbon_footprint_tco2e_per_musd_invested,carbon_limit,optimization_success,optimization_message
2013,2014,vw,259,190.8163407861444,227.0955994089151,227.0955994089151,True,benchmark (drift)
2013,2014,mv,259,1639.105265658454,615.8530352319676,,True,Optimization terminated successfully
2014,2015,vw,269,174.99788471270872,208.08704951007485,208.08704951007485,True,benchmark (drift)
2014,2015,mv,269,1539.516973439058,725.7140370221056,,True,Optimization terminated successfully
2015,2016,vw,290,345.5422590028086,217.09660586037958,217.09660586037958,True,benchmark (drift)
2015,2016,mv,290,3489.6023968303284,532.418872122327,,True,Optimization terminated successfully
2016,2017,vw,314,443.4581448433129,265.11644629574886,265.11644629574886,True,benchmark (drift)
2016,2017,mv,314,4468.496416220602,532.9005203317148,,True,Optimization terminated successfully
2017,2018,vw,341,517.2876877265006,232.77169483685014,232.77169483685014,True,benchmark (drift)
2017,2018,mv,341,1309.338667920641,543.2216110998919,,True,Optimization terminated successfully
2018,2019,vw,365,395.54077286096117,181.35263520407915,181.35263520407915,True,benchmark (drift)
2018,2019,mv,365,1463.376408988762,867.681964380265,,True,Optimization terminated successfully
2019,2020,vw,403,300.37190715462305,194.7648324807963,194.7648324807963,True,benchmark (drift)
2019,2020,mv,403,425.89787018609445,549.2168723189329,,True,Optimization terminated successfully
2020,2021,vw,432,241.8983266558422,154.73613770794228,154.73613770794228,True,benchmark (drift)
2020,2021,mv,432,2554.747720936813,1283.2476231419605,,True,Optimization terminated successfully
2021,2022,vw,462,201.42399234990896,151.97767650005832,151.97767650005832,True,benchmark (drift)
2021,2022,mv,462,1592.4381638204238,1127.9486671775135,,True,Optimization terminated successfully
2022,2023,vw,474,227.96814234569146,153.18283330642996,153.18283330642996,True,benchmark (drift)
2022,2023,mv,474,322.95643681040553,543.9881282719227,,True,Optimization terminated successfully
2023,2024,vw,472,205.49933002508604,155.0213829071157,155.0213829071157,True,benchmark (drift)
2023,2024,mv,472,157.73374499324188,342.53740350146865,,True,Optimization terminated successfully
2024,2025,vw,469,204.7502890528333,147.7589174256184,147.7589174256184,True,benchmark (drift)
2024,2025,mv,469,282.31073222676315,448.11543899146704,,True,Optimization terminated successfully
