year,implementation_year,portfolio,carbon_footprint,carbon_limit,slack,satisfied_within_1e-6,optimization_success,optimization_message
2013,2014,mv_50,307.9265176160032,307.92651761600314,-5.684341886080802e-14,True,True,Optimization terminated successfully
2014,2015,mv_50,362.85701851105387,362.8570185110538,-5.684341886080802e-14,True,True,Optimization terminated successfully
2015,2016,mv_50,266.2094360612752,266.20943606127514,-5.684341886080802e-14,True,True,Optimization terminated successfully
2016,2017,mv_50,266.4502601658573,266.45026016585723,-5.684341886080802e-14,True,True,Optimization terminated successfully
2017,2018,mv_50,271.61080554994885,271.61080554994885,0.0,True,True,Optimization terminated successfully
2018,2019,mv_50,433.8409821901181,433.8409821901181,0.0,True,True,Optimization terminated successfully
2019,2020,mv_50,274.60843615950137,274.60843615950137,0.0,True,True,Optimization terminated successfully
2020,2021,mv_50,641.62381157097,641.62381157097,0.0,True,True,Optimization terminated successfully
2021,2022,mv_50,563.9743335887536,563.9743335887537,1.1368683772161603e-13,True,True,Optimization terminated successfully
2022,2023,mv_50,271.99406413596165,271.99406413596154,-1.1368683772161603e-13,True,True,Optimization terminated successfully
2023,2024,mv_50,171.26870175073503,171.26870175073486,-1.7053025658242404e-13,True,True,Optimization terminated successfully
2024,2025,mv_50,224.05771949572195,224.05771949572164,-3.126388037344441e-13,True,True,Optimization terminated successfully
