year,rank,ISIN,name,country,cf_per_weight_tco2e_per_musd_invested,vw_weight,vw_cf_contribution
2013,1,JP3526600006,CHUBU ELEC.POWER,JP,5953.153246663381,0.003063964868094518,18.240252402159417
2013,2,JP3551200003,ELEC.POWER DEV.,JP,14430.503346841644,0.0012417384758724693,17.91891123197971
2013,3,JP3228600007,KANSAI ELECTRIC PWR.,JP,6032.378702309749,0.002840851399327167,17.137091477728053
2013,4,JP3522200009,CHUGOKU ELEC.POWER,JP,8642.91321100956,0.0015741973879812795,13.605651401320143
2013,5,JP3605400005,TOHOKU ELECTRIC PWR.,JP,10316.567935228808,0.001311386689912244,13.5290098758345
2013,6,HK0002007356,CLP HOLDINGS,HK,1780.619485177722,0.007115381336991154,12.669786653116361
2013,7,AU000000BHP4,BHP GROUP,AU,173.69586186189173,0.04195926243362905,7.288150251498495
2013,8,JP3753000003,NIPPON YUSEN KK,JP,5197.49120604621,0.0012957039156892467,6.7344097074345
2013,9,JP3362700001,MITSUI OSK LINES,JP,4941.733043187318,0.001277258269961818,6.311869397354584
2013,10,JP3845400005,HOKURIKU ELEC.POWER,JP,7788.31920333737,0.0007877562839110592,6.135297393534187
2014,1,JP3526600006,CHUBU ELEC.POWER,JP,6217.260859598983,0.0026903478219015434,16.726594211815843
2014,2,JP3551200003,ELEC.POWER DEV.,JP,11241.18567595708,0.0014617603383688545,16.43191937735414
2014,3,JP3228600007,KANSAI ELECTRIC PWR.,JP,5449.002894618201,0.0028840099458407095,15.714978542993707
2014,4,JP3522200009,CHUGOKU ELEC.POWER,JP,8594.58543210445,0.0014516806362993293,12.476593248806333
2014,5,JP3605400005,TOHOKU ELECTRIC PWR.,JP,7728.225798821047,0.0016053247025646397,12.406311781844773
2014,6,HK0002007356,CLP HOLDINGS,HK,2005.7279541679757,0.005792605494107177,11.618390766997765
2014,7,AU000000BHP4,BHP GROUP,AU,220.14781131373547,0.0313244027375523,6.895998703382122
2014,8,JP3753000003,NIPPON YUSEN KK,JP,3701.552033183536,0.0016683699277149874,6.175558098035681
2014,9,JP3362700001,MITSUI OSK LINES,JP,3805.5266901401346,0.0015055605627324505,5.729450905100741
2014,10,JP3845400005,HOKURIKU ELEC.POWER,JP,7143.87659454643,0.0007875503928902605,5.626162818794577
2015,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,14717.901439218125,0.0018207253130382423,26.79725570518642
2015,2,JP3526600006,CHUBU ELEC.POWER,JP,6111.478740415972,0.0026699489503039676,16.31733624777864
2015,3,JP3551200003,ELEC.POWER DEV.,JP,8179.98693379791,0.0018226023579680963,14.908863473688289
2015,4,JP3228600007,KANSAI ELECTRIC PWR.,JP,5366.339865060795,0.002347797324295881,12.599078376452054
2015,5,JP3522200009,CHUGOKU ELEC.POWER,JP,7972.264981238875,0.0014199417666793737,11.320152021896433
2015,6,JP3605400005,TOHOKU ELECTRIC PWR.,JP,6399.597896399559,0.001758920645692982,11.256384864110561
2015,7,HK0002007356,CLP HOLDINGS,HK,1700.9586210515922,0.0061973849456558976,10.541495351288752
2015,8,AU000000BHP4,BHP GROUP,AU,278.46452240912976,0.02048934285690621,5.705555073125302
2015,9,JP3753000003,NIPPON YUSEN KK,JP,4027.969949453419,0.001391061184043525,5.603152647178411
2015,10,JP3362700001,MITSUI OSK LINES,JP,4479.880682643947,0.0011568798458199154,5.1826836734287465
2016,1,JP3585800000,TOKYO ELECTRIC POWER CO. HDG.,JP,10622.877215161927,0.0023786426341643467,25.268028641477187
2016,2,JP3381000003,NIPPON STEEL,JP,5201.934418219162,0.00472880577929318,24.59893754037888
2016,3,JP3526600006,CHUBU ELEC.POWER,JP,5355.139298278977,0.0029068205181142096,15.56642878959706
2016,4,JP3386030005,JFE HOLDINGS,JP,7022.39077101229,0.0021529238888640563,15.118672847850839
2016,5,JP3551200003,ELEC.POWER DEV.,JP,8531.653396257367,0.0017523066976516725,14.950073388304421
2016,6,JP3228600007,KANSAI ELECTRIC PWR.,JP,3888.6940407159286,0.0029709739944344046,11.553208867279068
2016,7,JP3522200009,CHUGOKU ELEC.POWER,JP,7989.401932863345,0.0014208125209277534,11.351442300936634
2016,8,JP3605400005,TOHOKU ELECTRIC PWR.,JP,6173.073987130439,0.001828505361589954,11.287498882959481
2016,9,HK0002007356,CLP HOLDINGS,HK,1786.6018641014716,0.005916613847127785,10.57063332844708
