year,rank,ISIN,name,country,ci_tco2e_per_musd_revenue,vw_weight,vw_waci_contribution
2013,1,HK0006000050,POWER ASSETS HOLDINGS,HK,6673.762504925252,0.00610653238960975,40.753546896889155
2013,2,HK0002007356,CLP HOLDINGS,HK,2829.3242424076534,0.007115381336991154,20.131720910724052
2013,3,AU0000224040,WOODSIDE ENERGY GROUP,AU,1442.9465773539716,0.0101196562545259,14.602123356466858
2013,4,AU000000BHP4,BHP GROUP,AU,329.4660755146728,0.04195926243362905,13.824153525498003
2013,5,HK0019000162,SWIRE PACIFIC 'A',HK,2844.092886297964,0.0038652804242689334,10.99321655821005
2013,6,JP3551200003,ELEC.POWER DEV.,JP,7599.154637949945,0.0012417384758724693,9.436162698047172
2013,7,JP3526600006,CHUBU ELEC.POWER,JP,1913.7882534763532,0.003063964868094518,5.8637799736235126
2013,8,JP3522200009,CHUGOKU ELEC.POWER,JP,3122.7360733726646,0.0015741973879812795,4.915802970058166
2013,9,JP3228600007,KANSAI ELECTRIC PWR.,JP,1682.7803812855693,0.002840851399327167,4.780529000935413
2013,10,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,950.9628751415604,0.004711570493086232,4.480528622537423
2014,1,HK0006000050,POWER ASSETS HOLDINGS,HK,6805.780051772541,0.004868347243220926,33.13290055301482
2014,2,HK0002007356,CLP HOLDINGS,HK,2840.791553196561,0.005792605494107177,16.45558475865966
2014,3,AU0000224040,WOODSIDE ENERGY GROUP,AU,1800.2054235632997,0.008280584613970923,14.90675333234527
2014,4,JP3551200003,ELEC.POWER DEV.,JP,7962.301468720035,0.0014617603383688545,11.638976489111025
2014,5,AU000000BHP4,BHP GROUP,AU,362.9017238151618,0.0313244027375523,11.367679750938102
2014,6,HK0019000162,SWIRE PACIFIC 'A',HK,2575.9583332641487,0.002969174010885033,7.648468536250637
2014,7,JP3526600006,CHUBU ELEC.POWER,JP,2032.752493813691,0.0026903478219015434,5.468811244196594
2014,8,JP3522200009,CHUGOKU ELEC.POWER,JP,3404.147672539395,0.0014516806362993293,4.94173525932887
2014,9,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,1166.1681910641719,0.00419424362371353,4.891193499548445
2014,10,JP3228600007,KANSAI ELECTRIC PWR.,JP,1649.4262353024342,0.0028840099458407095,4.756961667542819
