year,portfolio,ex_ante_tracking_error_annual,ex_post_tracking_error_vs_monthly_vw_annual,ex_post_tracking_error_vs_vw_drift_annual
2013,vw_50,0.0013830814422569693,0.027189933652877318,0.018568875834311813
2014,vw_50,0.0012519011030863328,0.032283836001477245,0.03177147245122869
2015,vw_50,0.0011868944533889952,0.016177154948786153,0.019950366812086985
2016,vw_50,0.0011687862728366597,0.012201216600009503,0.009934317050256205
2017,vw_50,0.0011531678664814828,0.01178832931415538,0.012265159125899629
2018,vw_50,0.0014559549436915621,0.018330319315578304,0.015581031701846026
2019,vw_50,0.00118798735800375,0.05875659348616915,0.05818767013780224
2020,vw_50,0.0012103625933968375,0.049297950602662496,0.05071200459540327
2021,vw_50,0.0010359788766678055,0.03066672316625027,0.027426401999954716
2022,vw_50,0.0009175582389099413,0.031910185566836495,0.03085773079319934
2023,vw_50,0.0009234196042772869,0.03726412284968951,0.028018671390901594
2024,vw_50,0.0009393650626494977,0.022279832717974207,0.023283257036822342
