year,implementation_year,anchor_cf_vw_2013,theta,carbon_limit_nz,carbon_footprint_vw,carbon_footprint_vw_nz,slack,feasible_within_1e-6,optimizer_success
2013,2014,227.09559940891506,0.1,204.38603946802357,227.09559940891506,199.28750416249113,5.098535305532437,True,True
2014,2015,227.09559940891506,0.1,183.94743552122122,208.08704951007485,163.25837974704194,20.68905577417928,True,True
2015,2016,227.09559940891506,0.1,165.5526919690991,217.0966058603796,158.29124694453333,7.261445024565774,True,True
2016,2017,227.09559940891506,0.1,148.99742277218917,265.1164462957488,148.9609841761271,0.03643859606205524,True,True
2017,2018,227.09559940891506,0.1,134.09768049497026,232.77169483685017,134.09768049497026,0.0,True,True
2018,2019,227.09559940891506,0.1,120.68791244547324,181.3526352040792,120.20592478990228,0.48198765557096124,True,True
2019,2020,227.09559940891506,0.1,108.61912120092593,194.76483248079626,102.85532464824034,5.763796552685591,True,True
2020,2021,227.09559940891506,0.1,97.75720908083333,154.73613770794228,96.73301160169956,1.0241974791337753,True,True
2021,2022,227.09559940891506,0.1,87.98148817275,151.9776765000583,87.81668197143668,0.16480620131332557,True,True
2022,2023,227.09559940891506,0.1,79.18333935547501,153.18283330643,79.183339355475,1.4210854715202004e-14,True,True
2023,2024,227.09559940891506,0.1,71.2650054199275,155.0213829071157,71.26500541992752,-1.4210854715202004e-14,True,True
2024,2025,227.09559940891506,0.1,64.13850487793476,147.75891742561845,64.13850487793476,0.0,True,True
