year,portfolio,ISIN,name,country,weight,ci,cf_per_weight
2013,vw_nz,AU000000BWP3,BWP GROUP STAPLED UNITS,AU,0.060553043437675674,0.0,0.0
2013,vw_nz,JP3633400001,TOYOTA MOTOR,JP,0.05372504535524088,11.516275142521295,16.294735007992305
2013,vw_nz,AU000000BHP4,BHP GROUP,AU,0.03521774522778922,329.4660755146728,173.69586186189173
2013,vw_nz,AU000000CBA7,COMMONWEALTH BK.OF AUS.,AU,0.03365843336824919,0.22976128852495517,0.10066709056033145
2013,vw_nz,JP3902900004,MITSUBISHI UFJ FINL.GP.,JP,0.02851811181711783,0.37365369338331517,0.2356761279616212
2013,vw_nz,AU000000ANZ3,ANZ GROUP HOLDINGS,AU,0.026198723756365554,0.42653063075284786,0.21020265328751286
2013,vw_nz,AU000000WBC1,WESTPAC BANKING,AU,0.024827829838297375,0.2424948657744411,0.11672880416523579
2013,vw_nz,JP3726800000,JAPAN TOBACCO,JP,0.024680245701435777,22.18137304447431,6.349151739253161
2013,vw_nz,JP3854600008,HONDA MOTOR,JP,0.021817948935367024,13.690452442557799,20.508351116934257
2013,vw_nz,JP3890350006,SUMITOMO MITSUI FINL.GP.,JP,0.020715065167773866,0.13857339299016877,0.11247513568421956
2013,vw_nz,AU000000NAB4,NATIONAL AUS.BANK,AU,0.01754840000971987,0.42255082061363747,0.3056608692069693
2013,vw_nz,JP3551500006,DENSO,JP,0.016920599592605636,15.040850157403815,17.060009631422982
2013,vw_nz,AU000000WES1,WESFARMERS,AU,0.015441293037321419,40.87489855908115,63.39949334462042
2013,vw_nz,JP3898400001,MITSUBISHI,JP,0.015410484654132193,51.20743267166512,95.00547785344008
2013,vw_nz,JP3242800005,CANON,JP,0.01504430736041826,3.4083648386453236,2.678441648399843
2013,vw_nz,JP3496400007,KDDI,JP,0.014241332588024194,0.07503500381654968,0.08909902054568389
2013,vw_nz,AU000000CSL8,CSL,AU,0.014105985538090452,11.579611370152607,1.953427836778747
2013,vw_nz,JP3762600009,NOMURA HDG.,JP,0.012774601366930313,0.17626858494552625,0.1717200012870719
2013,vw_nz,AU0000224040,WOODSIDE ENERGY GROUP,AU,0.0127518593235839,1442.9465773539716,300.6496835387096
2013,vw_nz,JP3672400003,NISSAN MOTOR,JP,0.012229498777360454,8.176861977202416,18.31151658959873
2013,vw_nz,JP3902400005,MITSUBISHI ELECTRIC,JP,0.012037502544080167,8.315770357470692,18.542128060458854
2013,vw_nz,HK0388045442,HONG KONG EXCHANGES AND CLEARING,HK,0.011990524263163795,0.14082489395642683,0.005291591797485308
2013,vw_nz,JP3205800000,KAO,JP,0.011738103502888357,43.14549449572554,42.41382542361567
2013,vw_nz,JP3566800003,CENTRAL JAPAN RAILWAY,JP,0.011696268566524034,4.671222159296967,4.490025688559471
2013,vw_nz,JP3258000003,KIRIN HOLDINGS,JP,0.010358785457125997,22.73516162284791,43.946948437923496
2013,vw_nz,JP3830000000,BROTHER INDUSTRIES,JP,0.009993733747008406,1.9596452228319061,3.630551471845191
2013,vw_nz,AU000000TLS2,TELSTRA GROUP,AU,0.009471593702443016,2.009111768485008,0.89149161861608
2013,vw_nz,JP3667600005,JGC HOLDINGS,JP,0.009068299893217124,18.147926068588394,16.463667772345165
2013,vw_nz,JP3463000004,TAKEDA PHARMACEUTICAL,JP,0.0090296855445481,10.141722160875958,4.309650943783937
2013,vw_nz,JP3294460005,INPEX,JP,0.008286004771528164,37.09274367432907,23.35972036203061
2013,vw_nz,HK0066009694,MTR,HK,0.008053597953602753,11.277347649447377,2.1839733223591704
2013,vw_nz,JP3629000005,TOPPAN HOLDINGS,JP,0.007647278772155345,18.1241193299167,68.20898677513549
2013,vw_nz,JP3788600009,HITACHI,JP,0.007623844891131822,9.086316711541375,32.0679867165324
2013,vw_nz,JP3684000007,NITTO DENKO,JP,0.007569383918998407,58.31596714893823,40.55192817893168
2013,vw_nz,HK0823032773,LINK REAL ESTATE INVESTMENT TRUST,HK,0.007412676238689236,0.0,0.0
2013,vw_nz,JP3830800003,BRIDGESTONE,JP,0.007171708448295383,62.029725339017894,96.42192263229956
2013,vw_nz,AU000000SUN6,SUNCORP GROUP,AU,0.007160244610681515,0.41453603601930317,0.45309060229256687
2013,vw_nz,JP3910660004,TOKIO MARINE HOLDINGS,JP,0.007132969181142772,0.5103550696134227,0.8094524969563086
2013,vw_nz,JP3475350009,DAIICHI SANKYO,JP,0.006794231593134139,12.212849820260306,11.100384784483198
2013,vw_nz,JP3304200003,KOMATSU,JP,0.006735466010199014,6.083805335337114,4.71964858727845
2013,vw_nz,AU000000MQG1,MACQUARIE GROUP,AU,0.006583470159081422,0.0,0.0
2013,vw_nz,AU000000WOW2,WOOLWORTHS GROUP,AU,0.006368924975837277,8.779929535268318,12.633744937067148
2013,vw_nz,JP3519400000,CHUGAI PHARM.,JP,0.006360319420363804,12.816324675490689,4.837261413680066
2013,vw_nz,SGXE21576413,GENTING SINGAPORE,SG,0.006355523006593812,1.634446700255682,0.2586791652770816
2013,vw_nz,AU000000QBE9,QBE INSURANCE GROUP,AU,0.0063499578011524,0.6487553522918545,0.7245952936604467
2013,vw_nz,AU000000ORG5,ORIGIN ENERGY (EX BORAL),AU,0.0063134737778960575,950.9628751415604,960.6717319372199
2013,vw_nz,JP3951600000,UNI CHARM,JP,0.00622802357241168,6.080078629938535,2.890460355130046
2013,vw_nz,JP3582600007,TOKYO TATEMONO,JP,0.006226591772290184,1.2744789875523659,1.3637454001663851
2013,vw_nz,JP3229400001,KANSAI PAINT,JP,0.0061213934593141285,15.647860802928806,16.350847364668457
2013,vw_nz,JP3256000005,KYOWA KIRIN,JP,0.006018208797790548,18.817616035016137,12.674782621720603
2013,vw_nz,JP3358800005,SHIMIZU,JP,0.005964754325378352,14.699149221948744,86.98950031228027
2013,vw_nz,HK0011000095,HANG SENG BANK DEAD - DELIST.28/01/26,HK,0.00579960963401727,0.0,0.0
2013,vw_nz,JP3942400007,ASTELLAS PHARMA,JP,0.005617354353378167,7.615397369506793,3.326401225463054
2013,vw_nz,JP3893600001,MITSUI,JP,0.00551901991639832,25.87867836527121,50.26151464032432
2013,vw_nz,JP3197800000,OMRON,JP,0.005127017703389386,5.442293018674887,6.619733916686327
2013,vw_nz,JP3505000004,DAIWA HOUSE INDUSTRY,JP,0.005059401038829629,9.574366107673903,18.549948328681076
2013,vw_nz,BMG8063F1068,SHANGRI-LA ASIA,HK,0.004984575884548832,73.80705822868507,20.107335900176555
2013,vw_nz,JP3522200009,CHUGOKU ELEC.POWER,JP,0.004961214571733286,3122.7360733726646,8642.91321100956
2013,vw_nz,JP3435000009,SONY GROUP,JP,0.004922742573347291,4.183422626930422,20.344412565648707
2013,vw_nz,JP3351600006,SHISEIDO,JP,0.004871342739948427,4.134719403938894,5.956156127729395
2013,vw_nz,SG1R50925390,SEMBCORP INDUSTRIES,SG,0.004756053695371845,778.847665671851,810.1183785480654
