date,monthly_rf_decimal,monthly_rf_percent
2013-12-31,0.0,0.0
2014-01-31,0.0,0.0
2014-02-28,0.0,0.0
2014-03-31,0.0,0.0
2014-04-30,0.0,0.0
2014-05-31,0.0,0.0
2014-06-30,0.0,0.0
2014-07-31,0.0,0.0
2014-08-31,0.0,0.0
2014-09-30,0.0,0.0
2014-10-31,0.0,0.0
2014-11-30,0.0,0.0
2014-12-31,0.0,0.0
2015-01-31,0.0,0.0
2015-02-28,0.0,0.0
2015-03-31,0.0,0.0
2015-04-30,0.0,0.0
2015-05-31,0.0,0.0
2015-06-30,0.0,0.0
2015-07-31,0.0,0.0
2015-08-31,0.0,0.0
2015-09-30,0.0,0.0
2015-10-31,0.0,0.0
2015-11-30,0.0,0.0
2015-12-31,0.0001,0.01
2016-01-31,0.0001,0.01
2016-02-29,0.0002,0.02
2016-03-31,0.0002,0.02
2016-04-30,0.0001,0.01
2016-05-31,0.0001,0.01
2016-06-30,0.0002,0.02
2016-07-31,0.0002,0.02
2016-08-31,0.0002,0.02
2016-09-30,0.0002,0.02
2016-10-31,0.0002,0.02
2016-11-30,0.0001,0.01
2016-12-31,0.0003,0.03
2017-01-31,0.0004,0.04
2017-02-28,0.0004,0.04
2017-03-31,0.0003,0.03
2017-04-30,0.0005,0.05
2017-05-31,0.0006,0.06
2017-06-30,0.0006,0.06
2017-07-31,0.0007000000000000001,0.07
2017-08-31,0.0009,0.09
2017-09-30,0.0009,0.09
2017-10-31,0.0009,0.09
2017-11-30,0.0008,0.08
2017-12-31,0.0009,0.09
2018-01-31,0.0012,0.12
2018-02-28,0.0011,0.11
2018-03-31,0.0011,0.11
2018-04-30,0.0014000000000000002,0.14
2018-05-31,0.0014000000000000002,0.14
2018-06-30,0.0014000000000000002,0.14
2018-07-31,0.0016,0.16
2018-08-31,0.0016,0.16
2018-09-30,0.0015,0.15
2018-10-31,0.0019,0.19
2018-11-30,0.0018,0.18
2018-12-31,0.002,0.2
2019-01-31,0.0021,0.21
2019-02-28,0.0018,0.18
2019-03-31,0.0019,0.19
2019-04-30,0.0021,0.21
2019-05-31,0.0021,0.21
2019-06-30,0.0018,0.18
2019-07-31,0.0019,0.19
2019-08-31,0.0016,0.16
2019-09-30,0.0018,0.18
2019-10-31,0.0016,0.16
2019-11-30,0.0012,0.12
2019-12-31,0.0014000000000000002,0.14
2020-01-31,0.0013,0.13
2020-02-29,0.0012,0.12
2020-03-31,0.0013,0.13
2020-04-30,0.0,0.0
2020-05-31,0.0001,0.01
2020-06-30,0.0001,0.01
2020-07-31,0.0001,0.01
2020-08-31,0.0001,0.01
2020-09-30,0.0001,0.01
2020-10-31,0.0001,0.01
2020-11-30,0.0001,0.01
2020-12-31,0.0001,0.01
2021-01-31,0.0001,0.01
2021-02-28,0.0,0.0
2021-03-31,0.0,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,0.0,0.0
2021-08-31,0.0,0.0
2021-09-30,0.0,0.0
2021-10-31,0.0,0.0
2021-11-30,0.0,0.0
2021-12-31,0.0001,0.01
2022-01-31,0.0,0.0
2022-02-28,0.0,0.0
2022-03-31,0.0001,0.01
2022-04-30,0.0001,0.01
2022-05-31,0.0003,0.03
2022-06-30,0.0006,0.06
2022-07-31,0.0008,0.08
2022-08-31,0.0019,0.19
2022-09-30,0.0019,0.19
2022-10-31,0.0023,0.22999999999999998
2022-11-30,0.0029,0.29
2022-12-31,0.0033,0.33
2023-01-31,0.0034999999999999996,0.35
2023-02-28,0.0034000000000000002,0.34
2023-03-31,0.0036,0.36
2023-04-30,0.0034999999999999996,0.35
2023-05-31,0.0036,0.36
2023-06-30,0.004,0.4
2023-07-31,0.0045000000000000005,0.45000000000000007
2023-08-31,0.0045000000000000005,0.45000000000000007
2023-09-30,0.0043,0.43
2023-10-31,0.004699999999999999,0.4699999999999999
2023-11-30,0.0044,0.44
2023-12-31,0.0043,0.43
2024-01-31,0.004699999999999999,0.4699999999999999
2024-02-29,0.0042,0.42
2024-03-31,0.0043,0.43
2024-04-30,0.004699999999999999,0.4699999999999999
2024-05-31,0.0044,0.44
2024-06-30,0.0040999999999999995,0.4099999999999999
2024-07-31,0.0045000000000000005,0.45000000000000007
2024-08-31,0.0048,0.48
2024-09-30,0.004,0.4
2024-10-31,0.0039000000000000003,0.39
2024-11-30,0.004,0.4
2024-12-31,0.0037,0.37
